 	il	muro	vuole	uno	specchio	</S>
a46	0.131237527985	0.12463516066	0.135997565431	0.097368740845	0.247802390516	0.262958583187
a31	0.123919031651	0.176862469025	0.132607032881	0.0826189894117	0.293481082449	0.190511360093
a24	0.145883828064	0.162707489583	0.124314078378	0.0827562104239	0.33214153455	0.152196845865
a37	0.178269285701	0.096718827541	0.145829892932	0.0850767535413	0.334040043297	0.16006520443
a18	0.19744773588	0.0612183053343	0.139471478657	0.0798612641271	0.328728209946	0.193273021501
a20	0.237148237304	0.0437601209421	0.137188911672	0.0783681370424	0.283784077935	0.219750547728
a41	0.265518562472	0.0415306466607	0.153478515871	0.0967565868808	0.225364254498	0.217351466613
a31	0.283445548331	0.0542673729069	0.151805995348	0.131782500227	0.194430232399	0.184268361364
a11	0.266978984037	0.0623762803403	0.141207363749	0.161844280342	0.190322755666	0.177270341168
a31	0.178768246272	0.0764355863981	0.124545067752	0.178356992714	0.211435211222	0.230458898989
</S>	0.126176855036	0.0936169864991	0.106921032256	0.182951966357	0.227720903111	0.262612250994
