 	che	non	li	aspetiamo	</S>
a20	0.3176112899	0.060646376724	0.161177054637	0.313401027739	0.147164239556
a8	0.2603177543	0.0906622959613	0.133810557087	0.397164175719	0.118045212276
a7	0.177404876213	0.118223634714	0.130491870686	0.442363128033	0.131516479279
a35	0.227202507491	0.0868722292513	0.189857830346	0.394576488318	0.101490932526
a46	0.338055395937	0.0990922558771	0.162498990146	0.296053139645	0.104300213942
a31	0.380548058112	0.138673072919	0.111545504122	0.246632278727	0.122601085914
a11	0.359721131971	0.168788368533	0.103975676081	0.229041807609	0.138473016638
a31	0.32497401959	0.180947530111	0.10007043944	0.23283676459	0.161171235433
a0	0.269188485997	0.166275899544	0.10139410722	0.267912637797	0.195228856898
a31	0.179720206866	0.140205100048	0.118067800127	0.287896287999	0.274110608699
a30	0.133100284729	0.117508451416	0.107906250742	0.3258474816	0.315637536233
a0	0.129841656616	0.113770557739	0.089943281214	0.3667354332	0.299709079411
a31	0.126257701939	0.119916373113	0.0961635008713	0.330101290067	0.32756114447
</S>	0.117666404569	0.123320004556	0.104656075036	0.300305067534	0.354052454235
