 	non	aveva	cosa	a	fare	</S>
a31	0.163790166622	0.29965888743	0.21953712064	0.109283534	0.0971923325	0.11053797371
a18	0.15992251146	0.256623345957	0.22085404028	0.0950873829067	0.171214733967	0.0962980125767
a24	0.107413091131	0.183315051046	0.21725094904	0.103760297876	0.296945440656	0.0913151805656
a20	0.12106332383	0.196059600682	0.212410156693	0.0796357130253	0.292023374268	0.0988078191472
a31	0.19162457913	0.213513008161	0.174740852144	0.0710965145018	0.230882659799	0.118142381299
a18	0.218504097717	0.21556757072	0.146805807621	0.0977765385273	0.175934954926	0.145411038004
a31	0.195250867326	0.23084258464	0.11125612524	0.116371410242	0.166894440309	0.179384575348
a17	0.168080090729	0.216312507347	0.105121875067	0.130177452081	0.186858535836	0.193449534116
a20	0.153900996776	0.206196843782	0.112957239382	0.13727847076	0.209870919679	0.179795527905
a31	0.155631232105	0.199205194594	0.085622716034	0.128277715653	0.19808918656	0.233173956168
</S>	0.157131112752	0.192352823297	0.074057787617	0.119397961827	0.16804243028	0.289017880084
