 	se	nella	nella	pasta	voleva	sale	l'	avevo	messo	</S>
a31	0.07221883274	0.0417040568837	0.105148975013	0.11475488861	0.17741352277	0.09368323061	0.084209537065	0.05019602637	0.121362236841	0.139308693514
a39	0.0404647548215	0.0387009098002	0.0935705713153	0.0874008124767	0.16733443349	0.179901204117	0.074259951705	0.0827218670233	0.139675874928	0.0959696219827
a31	0.0207598959433	0.0319648036984	0.0765950952605	0.0738173855002	0.13963826303	0.204101358226	0.0545363462817	0.125324076408	0.154587549809	0.118675222056
a14	0.0140234325131	0.0259632993112	0.0912194592862	0.0863210999747	0.168523070977	0.158915989182	0.0460584405519	0.115441494469	0.148014986556	0.145518711959
a41	0.0268953371484	0.0332029472804	0.0878600246261	0.0940103526916	0.211703347192	0.125056405307	0.042864027862	0.104590852023	0.129319273079	0.144497413126
a33	0.0424071674628	0.0382510690601	0.0772094038194	0.0889657658639	0.213986819331	0.117592554316	0.062042620554	0.126043564141	0.12981686598	0.103684146109
a20	0.0519346079343	0.0433070743534	0.0681609285931	0.0896317292213	0.209315131577	0.106923117559	0.0683959123513	0.15368393208	0.130479393027	0.0781681600777
a31	0.0548915191314	0.0401115205178	0.0546071453577	0.100250194074	0.215253622192	0.0816281960997	0.0672009018838	0.200794630727	0.122948565042	0.0623137029126
a10	0.0506963278971	0.0272834923126	0.0389361319059	0.100150955111	0.244176464731	0.0684342437866	0.0694992772279	0.252208579509	0.102884782025	0.0457297235575
a31	0.0458414816657	0.0221510508175	0.0371365278153	0.105384219124	0.24598609111	0.0673717158489	0.0707236345426	0.266036038503	0.098097224243	0.0412719789658
a46	0.0414645561286	0.0250833427125	0.0476051344718	0.109522488735	0.249628498837	0.0822609362123	0.0771504385809	0.219492677941	0.095400657787	0.0523912410866
a31	0.0387227141495	0.0256910603775	0.0538288068039	0.123896950205	0.262400896346	0.0843951482601	0.075653744927	0.175190439287	0.0980494393383	0.0621707778669
a39	0.0361680746165	0.0249713615192	0.0734002195346	0.145864388868	0.270766251915	0.0867929705067	0.066905242609	0.156645422829	0.0858482018021	0.0526378534223
a28	0.0355811540722	0.0266856484464	0.0956800773782	0.153639989756	0.285772282572	0.0856148566176	0.0542283123057	0.158874804943	0.0609296483634	0.0429932288808
a21	0.0398905925241	0.0317393895421	0.0878236233927	0.159095528852	0.288430803191	0.0676128620719	0.0721560639712	0.149083613514	0.0560545642345	0.0481129546736
a24	0.0556433800414	0.044422332554	0.0750043254642	0.132434213284	0.283609313797	0.061785986188	0.107953062257	0.122619127238	0.0620536804315	0.0544745746712
a46	0.0643742166805	0.0490612634513	0.0709548244881	0.106831073095	0.267527431866	0.068334973036	0.113295908199	0.117054156413	0.0769607424905	0.0656054138617
a20	0.0609357874268	0.0433747130838	0.0658981147627	0.095550614865	0.263218645889	0.068077343972	0.106695889066	0.115975660604	0.0884421081102	0.0918311212812
a31	0.0518664037756	0.0489668290679	0.0637148822209	0.0835793951217	0.25444927923	0.0670737117507	0.097202580042	0.115185780801	0.10568322461	0.112277908683
a14	0.0476790788252	0.0602302871493	0.0578328492403	0.0812026074406	0.25202130561	0.0773368573616	0.0828189408807	0.1170549226	0.10881397367	0.115009164004
a17	0.0518399111151	0.0639619924364	0.0527727740134	0.0851564890802	0.278692824737	0.0880505911052	0.0894350929602	0.108737665893	0.0817030161567	0.0996496291007
a31	0.054725120225	0.0738354003161	0.0668674134311	0.0819338105601	0.271935664379	0.0780604607217	0.0918507207867	0.103193435324	0.0836546997856	0.0939432619329
