 	non	ho	cosa	a	fare	</S>
a8	0.123156198278	0.21567344776	0.190266741	0.1569626517	0.20021533157	0.113725639447
a31	0.108417754519	0.211679336067	0.25280969372	0.126697255433	0.23651831997	0.0638776286189
a37	0.0722865751152	0.166026416594	0.223842960627	0.106338028544	0.342704887123	0.0888011176462
a11	0.0604859516131	0.123196392663	0.179293756409	0.128708160981	0.361248330508	0.147067405237
a13	0.0826351935044	0.134157794821	0.182912687236	0.15120185166	0.303565089236	0.145527385843
a20	0.124876183635	0.171808818607	0.179401861312	0.144002841087	0.273494603212	0.106415715765
a31	0.124682233058	0.215976791069	0.137133761171	0.137323487229	0.300705228271	0.0841785186617
a8	0.089961899946	0.214913560356	0.113243669424	0.149600094676	0.35372133809	0.0785594312206
a31	0.088680889262	0.193579967719	0.122128565975	0.166112357559	0.321789680697	0.107708526874
a46	0.084886945914	0.168476194173	0.135787141732	0.16727093652	0.304589674899	0.138989107625
a8	0.0808355307047	0.154464516458	0.147922928624	0.161414602173	0.3178431755	0.137519256342
</S>	0.0808602715124	0.163015762429	0.140232679572	0.161867527086	0.31938444555	0.134639320871
