 	non	sono	ancora	vestita	</S>
a31	0.160820245195	0.0801157541321	0.279565460613	0.286516364464	0.192982153283
a23	0.138520914639	0.0421618668081	0.32065601388	0.339819719199	0.158841471321
a31	0.188340452228	0.028566051292	0.28329342632	0.395023926297	0.104776140144
a7	0.17363813788	0.0213134010707	0.305214893133	0.402643707723	0.0971898608793
a31	0.166890589753	0.0565074476769	0.303409284378	0.363625093488	0.109567574012
a13	0.171860429584	0.0867013512856	0.318891736859	0.296511795163	0.126034674864
a31	0.124856221568	0.0824040516485	0.39035399662	0.248245082788	0.154140650555
a37	0.101705833696	0.0799827641295	0.39908876314	0.235836623196	0.183386025918
a18	0.112646484559	0.0808535932365	0.343521304647	0.221391148799	0.241587471906
a31	0.113570843873	0.0955598828122	0.251631282882	0.229466469333	0.309771521302
a46	0.107914784124	0.0978400434374	0.204122988294	0.242433029244	0.347689167101
a8	0.112734549275	0.110735148179	0.205201696098	0.247363080948	0.323965538367
</S>	0.120584103937	0.12762278979	0.205923113049	0.248542159074	0.297327838184
