 	sto	ancora	cucinando	</S>
a20	0.34033189669	0.3068957517	0.203209560319	0.149562777858
a31	0.263012687187	0.441038220033	0.201371627872	0.0945774459258
a37	0.245450605685	0.475212708544	0.15966524345	0.119671439623
a20	0.238518998987	0.458150595381	0.131709879183	0.171620543274
a31	0.226563135373	0.358298413127	0.211691820874	0.203446654335
a30	0.221681774552	0.221659943509	0.336121588191	0.220536712622
a46	0.234395791487	0.222289954503	0.36010645451	0.183207803339
a31	0.218538279182	0.238318369368	0.35013787657	0.193005462358
a39	0.174931075307	0.232500202789	0.38345991219	0.209108794786
a15	0.186767582582	0.236953489063	0.409904199063	0.166374714862
a20	0.23742714456	0.224097539021	0.410981863621	0.127493449554
a22	0.269990433319	0.224296445674	0.390940073874	0.114773064411
a31	0.256547762706	0.206360784558	0.399965078358	0.137126385164
a46	0.235745000989	0.163314842853	0.449230223719	0.151709926455
</S>	0.234901392324	0.154654384426	0.46141735726	0.149026858628
