 	ha	che	sono	usciti	</S>
a31	0.23962956135	0.1185339694	0.22432002465	0.3731436013	0.044372845972
a13	0.255188317783	0.1779918651	0.168436716563	0.368037307947	0.0303457947587
a8	0.149234048141	0.215067934713	0.0876097840717	0.472392037896	0.0756961977929
a24	0.130351148094	0.204124677551	0.0577392677946	0.458466646965	0.149318271998
a31	0.205325895571	0.196551595317	0.0592147679982	0.355772517522	0.183135219966
a0	0.24339940153	0.154457222506	0.0669253113327	0.325184738774	0.210033315489
a31	0.20723427675	0.115153653169	0.0812954454442	0.376436288925	0.219880343496
a8	0.176013007183	0.0968610789697	0.0824808347481	0.448294347642	0.196350749632
a23	0.149235019148	0.0821292672232	0.0791321524494	0.496865142547	0.192638437344
a8	0.127668525603	0.0806331755277	0.0881568774165	0.499505142849	0.204036278315
a23	0.137114461488	0.0905072679759	0.102375947806	0.470350843616	0.199651478372
</S>	0.149962993574	0.097850317088	0.110184124903	0.444085904808	0.197916669086
