 	che	vende	buon	pane	</S>
a17	0.2042566151	0.22275600965	0.1450671968	0.17785361487	0.2500665331
a31	0.2006640333	0.24130455107	0.130166476913	0.216049655003	0.211815283683
a11	0.171673126647	0.23934272575	0.131186340644	0.241385688401	0.216412131921
a39	0.171207352102	0.20575171469	0.132064831308	0.246523934067	0.24445216615
a35	0.249204736801	0.163320726163	0.087829959236	0.251152850022	0.248491729317
a39	0.30341414196	0.179532652321	0.086739374812	0.200123594674	0.230190243972
a31	0.29390487712	0.25752054564	0.0831954848707	0.194208599691	0.171170494857
a24	0.30379324384	0.260660948547	0.0797796367569	0.206754697164	0.149011468752
a18	0.275989905947	0.224294603916	0.106605847252	0.194048314321	0.199061328517
a31	0.210260418649	0.224510177372	0.150761697617	0.20946320624	0.205004504039
a13	0.18404226835	0.207948426657	0.166218996206	0.230043231813	0.21174707868
a31	0.17400102425	0.183290487686	0.167022173735	0.238637832338	0.237048488227
a46	0.159915210657	0.186688300895	0.178995591045	0.236933986113	0.237466926742
a8	0.172495307192	0.206832504298	0.200309117882	0.206988397371	0.213374676647
</S>	0.186570672196	0.210634642149	0.219194478541	0.190757150686	0.192843041923
