 	l'	ha	scritta	</S>
a20	0.4493029347	0.21939529621	0.21155988	0.11974189745
a31	0.511229016067	0.24728375679	0.183081878573	0.0584053379536
a35	0.448695243256	0.19974508693	0.247461677698	0.104097968361
a31	0.413361944219	0.229153667703	0.231852854653	0.125631518532
a35	0.370040021673	0.305469321148	0.232502142571	0.0919884965887
a31	0.315918878824	0.320781496589	0.26314731869	0.10015227633
a41	0.337692676408	0.298029824356	0.24480698073	0.119470495777
a31	0.345872942669	0.272088833612	0.248516702643	0.133521514859
a11	0.372489070223	0.250186354537	0.229903957014	0.147420618553
a18	0.351416142074	0.237854441446	0.212817256605	0.197912164184
a13	0.351839712225	0.222471794949	0.180484445535	0.245204057395
</S>	0.350773383412	0.218186226775	0.166192024368	0.264848375697
