 	il	dito	si	gonfiò	</S>
a39	0.333388732685	0.260234776202	0.075079177774	0.21810420788	0.11319306465
a13	0.303172459632	0.285531251457	0.0671231927203	0.250418395666	0.0937546693753
a31	0.311370490224	0.240170171516	0.0788485089018	0.321703324824	0.0479074981238
a20	0.311095446208	0.249682868945	0.0831756409493	0.313534842913	0.0425111987146
a31	0.340165581803	0.236220768226	0.0923773557698	0.25751972413	0.0737165683649
a11	0.366822193001	0.216216514542	0.0918963606899	0.229683690022	0.0953812335816
a31	0.3656737794	0.226358277701	0.0998334070433	0.214621232004	0.0935132974339
a39	0.340483712067	0.221928431345	0.108777368181	0.206834642488	0.121975863585
a31	0.298095183756	0.195247130393	0.13205803006	0.232043705829	0.142555975062
a41	0.276038683452	0.162253190098	0.143173716487	0.26318892161	0.155345512687
a46	0.218540211817	0.151767688379	0.137294905962	0.297847683203	0.194549522162
a31	0.184207796339	0.130436932526	0.154141615521	0.316042056401	0.215171592921
</S>	0.17777387157	0.115292204463	0.170336417261	0.319009166201	0.21758833676
