 	la	donna	è	capace	pulire	deve	pulire	la	casa	ogni	giorno	</S>
a31	0.100462043817	0.0105833115176	0.0158550149875	0.051250763266	0.07666987648	0.02944991277	0.06768984574	0.19979343603	0.04760940025	0.11037617238	0.118469877419	0.171790342422
a24	0.0723836266481	0.0112672335761	0.0186503318154	0.0902646220333	0.12657741394	0.0564746176167	0.117842353881	0.276412961077	0.0413022364269	0.0608418930974	0.0623426794257	0.0656400248513
a31	0.0326456146544	0.0115358522992	0.0167532625087	0.119378228801	0.14525658498	0.0800101019389	0.163309896956	0.248264191666	0.0346296550858	0.0383514835725	0.0756762302219	0.0341889086022
a8	0.0275532522574	0.0103111953811	0.0233051425819	0.134979022433	0.182230185393	0.10089583322	0.16031368932	0.177465574262	0.0269031538553	0.0375481702802	0.0887191068006	0.0297756784032
a20	0.0486328528676	0.0127966877017	0.0279732407746	0.111211259893	0.208943408064	0.129400486873	0.141740230273	0.114995717954	0.0263309515691	0.0566067342267	0.0837712569869	0.0375971654722
a31	0.0638356077681	0.0146183166892	0.0226532375864	0.0853153144458	0.213177160955	0.114682555358	0.159779562651	0.0870017749847	0.026630354127	0.0882243666089	0.0806146527956	0.0434670825434
a8	0.0745625754839	0.0179057529497	0.0243166596863	0.083842561637	0.216396148785	0.0730223561193	0.15650790597	0.0875823363949	0.0281916123223	0.097842034003	0.0852118750652	0.0546181616191
a31	0.0750394873785	0.0193973789832	0.0241033678021	0.0814192082159	0.177480525795	0.0540213526398	0.115737608803	0.0904249797316	0.0397083484541	0.138343496501	0.118842300955	0.0654819260164
a20	0.0747729048518	0.0219787742664	0.0318474048187	0.0677407674033	0.116348412398	0.0415185376466	0.085516965701	0.100757290211	0.0401394128847	0.168823064067	0.168272982185	0.0822834724721
a31	0.0735799809421	0.0224228812341	0.0356967176442	0.0623886313831	0.0872464237993	0.0340620645155	0.0677137405003	0.113066365837	0.0403299154949	0.173852064022	0.184567442195	0.105073778557
a20	0.073958627234	0.023754311442	0.0324591746501	0.062068368663	0.0764772510664	0.0352628316385	0.0594849863668	0.131368982212	0.040080406165	0.157969236607	0.195229422998	0.111886408986
a41	0.0929224606313	0.0270005425833	0.0308095699187	0.0440498540877	0.0519160668888	0.0410119443462	0.0545157743889	0.162212666871	0.031020580055	0.122379206802	0.229122837866	0.113038494195
a11	0.0991969006184	0.0273116415464	0.0305362497262	0.0488958736959	0.0407423605629	0.0420785883154	0.059709359763	0.15569110249	0.034133431485	0.121528771401	0.229801935622	0.110373780732
a6	0.106747620343	0.0336567760821	0.0594816212421	0.063513084632	0.0407774046276	0.0457296856385	0.0610953401543	0.12860981443	0.0341506120017	0.108187405267	0.211183724874	0.106866918911
a31	0.091179357881	0.0366564919474	0.072465747414	0.0821228024773	0.0579897702759	0.0473966280128	0.0618800333848	0.11481521941	0.0407912025739	0.100834488556	0.183422571025	0.110445698637
a24	0.0858412903737	0.0440279974291	0.0569432419487	0.0972214892924	0.0607189006253	0.0444469520443	0.0614049012616	0.105482366537	0.0470483965246	0.0986653703853	0.178366347608	0.119832750412
a31	0.0816047340912	0.0430643477564	0.0507428441069	0.103611327431	0.0631658980951	0.0481537460548	0.0560003906205	0.0898629000457	0.0493869744415	0.0960238701284	0.170765575736	0.147617399004
a8	0.0692592485797	0.0488368650935	0.050650663592	0.112258209944	0.0670355333917	0.0501916357983	0.0577987019402	0.0754439247886	0.0458410639472	0.0964675227095	0.180262078112	0.145954553735
a31	0.0712163075826	0.0529715421992	0.0547084825764	0.127018314715	0.0714525752106	0.0563891005794	0.0610557384467	0.0716014248362	0.0390719515157	0.0881349685032	0.175416002171	0.130963585312
a20	0.0679729184342	0.0521320436717	0.0574576785173	0.144067196972	0.0737132251035	0.0579254809265	0.0651094990156	0.0651960626787	0.0393324536719	0.0775464939677	0.17264241319	0.126904532571
a13	0.0740315262154	0.0648621442459	0.0730737796466	0.155092346857	0.0649646036878	0.0545933154422	0.0663669505385	0.0509980284929	0.0371054480173	0.0604466499226	0.198193157063	0.100272045924
a28	0.0743856095291	0.0787920577626	0.0970485760679	0.158927469286	0.0631840845626	0.0543968643474	0.0610819825795	0.047581591031	0.0351409853658	0.0474425421075	0.198822852154	0.0831953702413
a29	0.0798529717697	0.0956573593695	0.124167593797	0.143889443962	0.0564767223809	0.0530870325158	0.0572448765932	0.0457783174103	0.0345561964686	0.0430606149025	0.197559379651	0.0686694672804
a31	0.0900818813699	0.0859500025278	0.112537611442	0.146643157454	0.061986391387	0.0512351561719	0.0544015619977	0.0500812963368	0.0356255679029	0.0553854029675	0.181949690284	0.0741222558268
a37	0.0857910061526	0.0871661837799	0.0853530151987	0.139910107385	0.0638416457423	0.0487693091906	0.0533579075326	0.0534322239123	0.038955326601	0.0630542057892	0.185976528361	0.0943925281423
a31	0.0882687896135	0.086707453084	0.0738171735449	0.121093131895	0.0605151439274	0.0492730497969	0.0521754951109	0.0505795897374	0.0425596866337	0.0692154299964	0.197712802987	0.108082263247
a28	0.0856887587178	0.080242445188	0.0657904678363	0.108245970298	0.0609298502558	0.0476421322323	0.056454899837	0.0490553891458	0.0444493449246	0.0737873481321	0.205678649462	0.122034758216
a31	0.0877910023126	0.0780825955293	0.0628304905374	0.0913788922327	0.0597806773653	0.0478530147774	0.0575714515457	0.0463123259153	0.0455729471549	0.0751234639774	0.214053642421	0.133649508672
a24	0.0912534357709	0.0882565107791	0.0715932264605	0.0838377229442	0.0558323698018	0.0492826525925	0.0529828059152	0.0458460331051	0.043998138085	0.0728920733925	0.211260034674	0.132965019091
a31	0.0953494203903	0.089622224369	0.0729141219215	0.0763002767147	0.0525077794473	0.0485508352642	0.0507900792384	0.0448834219017	0.0420725003283	0.0714896255308	0.215043742625	0.140476000497
a20	0.0955054505568	0.082276595543	0.0650530253165	0.0712154343716	0.0546230221291	0.0479806933547	0.0527602621461	0.0456810121006	0.0416777088694	0.0731679141769	0.217302466275	0.152756433432
a31	0.0936231024523	0.0792755587143	0.0618488781548	0.0672865255239	0.0560591745097	0.0489282927849	0.0529012177154	0.0455906279002	0.0439935115365	0.0765071959256	0.220250913225	0.153735011124
a17	0.0934111421908	0.0732165776781	0.0596824513596	0.0649333719746	0.0575912906366	0.0499246442616	0.0538510627718	0.0478381666334	0.0473119354655	0.0793333086419	0.219625163675	0.153280895488
</S>	0.0782086629554	0.083254017199	0.0685193863418	0.0618063609873	0.0577773187183	0.0501221507308	0.0594304023859	0.0528377164167	0.0475142940327	0.0716306713209	0.216641094837	0.152257934344
