 	se	vieni	a	casa	ogni	sabato	</S>
a23	0.262938633578	0.131430181913	0.115880936073	0.020099946135	0.052137323134	0.204698560493	0.212814402922
a31	0.402744990045	0.142311652276	0.121637704933	0.00934942579933	0.0378620611073	0.12365165795	0.162442508043
a11	0.437103087075	0.107276713613	0.099243514251	0.0391655341748	0.0604866576024	0.111179510674	0.145544984522
a21	0.321843334812	0.126217631486	0.156103859097	0.0587707376956	0.0744939719275	0.159478677783	0.103091777703
a31	0.303456545911	0.168060392755	0.191881101352	0.0346954326781	0.0621384495732	0.167459358933	0.0723087150943
a20	0.307392442648	0.183883023539	0.202464462155	0.0228426494986	0.0585112326197	0.170744161924	0.0541620259494
a31	0.283695024981	0.178246633334	0.206068553076	0.0276083053419	0.0890923498379	0.169450912508	0.0458382330765
a10	0.258439046414	0.170046586585	0.214200092359	0.0268966711416	0.110417534349	0.156740499503	0.0632595839788
a31	0.229381612758	0.156480204902	0.212788655786	0.0297161131549	0.147888148052	0.152342797034	0.0714024685196
a21	0.248242693986	0.147545714606	0.161692112329	0.0331362695183	0.176225522084	0.156322395678	0.0768352919065
a11	0.281135036262	0.126963484417	0.134114770443	0.0332758188728	0.168603541095	0.161824241626	0.0940831179688
a3	0.248096162087	0.0966020384677	0.134505980414	0.0428847080576	0.184672547032	0.173157052275	0.120081519923
a33	0.213109603696	0.0729212102132	0.125669140671	0.0525901432859	0.193958065211	0.178874978158	0.162876852261
</S>	0.201479294848	0.0682908906366	0.119915183335	0.0580195863429	0.195908368406	0.170895722179	0.185490944261
