 	è	che	è	entrato	da	qui	</S>
a31	0.28249124867	0.1292053821	0.05049760219	0.17223536257	0.08490281506	0.13031574854	0.15035185811
a7	0.185831953465	0.110857126227	0.116414850145	0.21388687987	0.0923794267933	0.143946059307	0.13668370593
a18	0.126626206523	0.149879876029	0.192104620296	0.25036282229	0.0578838153644	0.12543273101	0.097709924423
a31	0.138674190014	0.194308202783	0.217273361645	0.240527299563	0.0403763946881	0.0953543366888	0.073486213741
a46	0.195929158045	0.162107410468	0.199134446502	0.209657164988	0.0704652795294	0.0930533939597	0.0696531503397
a31	0.260812687788	0.133827007096	0.126640281254	0.182881256529	0.130147896276	0.0952921980252	0.0703986555326
a39	0.258566952271	0.122475845513	0.070661485204	0.133964565476	0.170200426345	0.122117663528	0.122013033991
a28	0.240883460852	0.124022330056	0.0561730861027	0.073786604192	0.139345250568	0.184177326309	0.181611945197
a31	0.202072953704	0.128814463503	0.0487232720429	0.0940600607307	0.089736642856	0.194963825236	0.241628804066
</S>	0.161325286552	0.123166900251	0.0456038411314	0.126003099465	0.077919183428	0.188446739618	0.277534976133
