 	non	li	aspettiamo	più	</S>
a3	0.43596881602	0.0839766171255	0.102177675132	0.18927574863	0.18860114124
a31	0.481712399287	0.123040737886	0.109311082293	0.142818304997	0.143117489267
a35	0.458065860576	0.126704781473	0.110413447237	0.178444831259	0.126371101916
a31	0.422814808072	0.100001745084	0.107821657239	0.224461598013	0.144900204312
a13	0.403278776624	0.154802660618	0.120785044998	0.215909611258	0.105223922844
a31	0.312527660275	0.218365818194	0.144711959975	0.192090473553	0.132304102881
a15	0.268028237783	0.198190764641	0.168077661678	0.219368587118	0.146334749627
a31	0.235137682219	0.150167378063	0.180471015146	0.266707140439	0.167516784742
a46	0.17154402048	0.130084152044	0.183024747049	0.292855379146	0.222491697447
</S>	0.12273314825	0.135743097936	0.169918226525	0.341364793573	0.230240720924
