 	essendosi	vestito	</S>
a46	0.26934690766	0.4432957511	0.2873573363
a31	0.173081438393	0.519590632167	0.307327928988
a18	0.123586893294	0.550808155456	0.325604953484
a31	0.0629331782693	0.584702492485	0.352364326361
a20	0.0352947861873	0.638277520828	0.326427693987
a46	0.0268741942226	0.649499655809	0.323626151862
a20	0.0533151862849	0.57194555987	0.374739246621
a31	0.182588588815	0.485683571623	0.33172784114
a0	0.300856162745	0.471443200074	0.227700648447
a46	0.343321541248	0.474366928691	0.182311539616
a35	0.374802837123	0.46615740063	0.159039766872
a46	0.384200515481	0.454249901543	0.161549586957
a24	0.371972429234	0.423948477181	0.204079095652
a46	0.359382975978	0.394811533727	0.245805497884
a24	0.344343557126	0.385951847909	0.269704599561
a31	0.294819486575	0.408974491303	0.29620600912
</S>	0.264850895887	0.426392860652	0.30875622606
