 	ho	rotto	una	bottiglia	</S>
a31	0.1219844006	0.21537895334	0.134132739855	0.335365931637	0.19313795305
a21	0.169867193133	0.30977612388	0.0843934313569	0.27981957097	0.156143679131
a31	0.289584886178	0.340442614536	0.0513147001819	0.234198557963	0.084459248611
a35	0.28964587335	0.334750042677	0.0685942277948	0.251257360264	0.055752508097
a31	0.244935953474	0.339581609295	0.0905660061959	0.268782985111	0.0561334600723
a24	0.25104499642	0.339445732216	0.0593680359775	0.258372814624	0.0917684302241
a37	0.209822385458	0.270778088692	0.0577160111557	0.301364777408	0.160318738888
a31	0.154127950162	0.151801852219	0.0692683714038	0.403505830469	0.221295990963
a33	0.105588653727	0.0951601167463	0.0696108975409	0.454621178823	0.275019155854
a31	0.107395065762	0.116179235889	0.0822686599636	0.397905685608	0.296251356151
</S>	0.112688379581	0.141378601264	0.0960229931718	0.353727989804	0.296182037675
