 	se	vuoi	vivere	non	essere	grasso	bisogna	mangiare	poco	</S>
a31	0.0729618607012	0.183193327987	0.10405568969	0.0826078154	0.0924641161183	0.0782117012599	0.10592219008	0.084637743573	0.0655496440493	0.130395908407
a20	0.0379938862749	0.155229463437	0.158892890897	0.131849688333	0.0866757668287	0.137910593481	0.129653837307	0.0787664116863	0.028073747805	0.0549537205416
a31	0.024115337694	0.141431993809	0.193061211899	0.144196763224	0.0418272214869	0.146772826438	0.124571747689	0.138557003189	0.0153188977127	0.0301470018929
a28	0.017019149478	0.148216611379	0.209913053833	0.129150469521	0.0315353555694	0.115282486597	0.126772526983	0.18144814693	0.0128063238269	0.0278558742335
a37	0.0241225799	0.184988147532	0.201479581144	0.123983821974	0.0440346733521	0.116673175094	0.111808272934	0.150953761003	0.012291672903	0.0296643186544
a24	0.037316712656	0.198085047708	0.191939514181	0.126458599725	0.0581994291285	0.110281026315	0.0882088391847	0.163280935568	0.007781822239	0.0184480864639
a31	0.0475920026253	0.196301485313	0.166415426514	0.114010809328	0.0549249136602	0.111122860022	0.137412680882	0.144411094863	0.008675764003	0.019132974952
a20	0.0505970531351	0.225233228048	0.125685148558	0.091129362516	0.0484423368128	0.117247853275	0.206017044517	0.099132450101	0.0138133576597	0.0227021587753
a1	0.0559159429917	0.255748474039	0.0983433913527	0.0890986195787	0.0468584490019	0.109086181708	0.232413392511	0.071081103605	0.0220790064919	0.0193754281116
a31	0.0626328479706	0.244019330483	0.0729017474176	0.0727946004862	0.0365608860883	0.115623978966	0.238668203139	0.099307062993	0.0302382580393	0.0272530901237
a28	0.0544194175302	0.246605242161	0.0595913427392	0.0590589593354	0.0287761971787	0.105129948097	0.224564771111	0.138362876864	0.0426530267538	0.0408382343872
a24	0.0435188093967	0.269458851787	0.0611617633131	0.0643525338985	0.025824684796	0.0845307736401	0.192513377348	0.136841485361	0.0624462427339	0.0593514882708
a28	0.0413504753722	0.289332563449	0.0625022556444	0.0641503183995	0.0208837488665	0.0697176405402	0.185621534123	0.120252805927	0.0768624266186	0.069326240114
a24	0.0381768526841	0.312019277516	0.0605644134715	0.0572677838745	0.0209271250049	0.0592440005626	0.201601025209	0.0948486502377	0.0779267095046	0.0774241709893
a46	0.0399034513414	0.328540392853	0.0537488967138	0.0487506061775	0.0238138530443	0.0570909683339	0.209859100348	0.0736643143135	0.0869212481396	0.0777071505084
a14	0.0396200408945	0.352997796919	0.0487803833846	0.0457713436305	0.0275857950456	0.0508327900704	0.182519541087	0.104389600139	0.0841372697717	0.0633654116016
a31	0.0301157837122	0.368880062173	0.0447186530715	0.0423859222635	0.0273570856323	0.052369903644	0.177658779642	0.136208675642	0.068647842526	0.0516572786387
a11	0.0248388452821	0.372918355958	0.0413881255272	0.0415346481078	0.0272529751458	0.0584764575663	0.200029116327	0.106395697677	0.0646018545117	0.0625639198396
a31	0.0219845042254	0.384462020486	0.0444352794224	0.0425435619959	0.0294538413258	0.058348533193	0.191622593806	0.0903783061483	0.0638146558483	0.0729567023623
a47	0.0241990585951	0.358403913455	0.0618840417875	0.0733529059453	0.0391056343617	0.0654359194086	0.190657974498	0.0786301125361	0.0553491691241	0.0529812798039
a31	0.0317380836184	0.365880929912	0.0744020695292	0.0854131584818	0.0434292453411	0.0762846569861	0.169520270198	0.0663916351687	0.04732439968	0.0396155734391
a24	0.0379535330421	0.401804754437	0.0774674473764	0.0870501497739	0.039039161607	0.0838294332502	0.123750826248	0.0664910679129	0.04639967598	0.0362139560102
a1	0.0392601326167	0.379091397339	0.0837342360588	0.116952764205	0.04495887059	0.0781865321326	0.101066627798	0.0622730218176	0.04941040672	0.0450660071787
a20	0.0382951171156	0.35213731504	0.0875973483529	0.110590713195	0.05944751977	0.0791768654315	0.0957716139047	0.0659706670992	0.052612253336	0.0584005833842
a31	0.0405807236619	0.35634091488	0.0868734995843	0.0845417230917	0.0612240570432	0.085947502071	0.0994469857022	0.0672552691704	0.0564341136369	0.0613552092301
a20	0.0438504566006	0.371783344293	0.0872111887948	0.0820556999106	0.0486097471895	0.0859906069763	0.0869126577427	0.0692397583675	0.0626623154512	0.0616842338734
a37	0.0474368810402	0.367592186498	0.0996666457983	0.0837147923502	0.0459130196825	0.0920433226843	0.0716891031342	0.0704604458292	0.0591362487404	0.0623473596191
a24	0.0517288558934	0.342871428366	0.115623847733	0.0763243061101	0.0512200892817	0.0924376949213	0.0867448279914	0.0676235290097	0.0546617831888	0.0607636257704
a29	0.0535558334178	0.322477311389	0.119170430378	0.0747194577967	0.0542671409519	0.0880196287797	0.109440444264	0.0633927483766	0.0520255146049	0.0629314715755
a20	0.0534025778059	0.317247561063	0.106330043459	0.0712170582122	0.0511170811026	0.0876651428302	0.136940757535	0.0615316207655	0.049635785435	0.0649123653145
a10	0.0526079716153	0.320150856088	0.0901442654197	0.0646547468174	0.0472920965247	0.0870172649653	0.161910770732	0.0602840291218	0.0487021767917	0.0672358157115
a31	0.0475731781384	0.304743348029	0.0934447367066	0.0531792816725	0.0427018338084	0.0876720373361	0.181235581053	0.0681718972793	0.0488983777574	0.0723797238118
a17	0.0464662473595	0.292506296143	0.111318928469	0.0569809458375	0.0408470237678	0.0827528479234	0.15331878936	0.0791101125051	0.0555081767953	0.0811906335086
a20	0.0530842959798	0.310890387581	0.115926612423	0.0657919549525	0.0434992348139	0.0763059053571	0.102690033533	0.0765199526084	0.0613902013144	0.0939014267195
a28	0.0582714839133	0.32689606786	0.117401719741	0.0629686846775	0.046069271726	0.0759793672516	0.0840351237777	0.0684475980028	0.0586319418581	0.101298756367
a0	0.0627306854578	0.33182025682	0.123117296447	0.0644915689258	0.0491401504031	0.0742056999057	0.0767395533659	0.0642039772676	0.0575918538794	0.0959589745357
a18	0.0660349017126	0.345081478807	0.120809500416	0.0645602855753	0.0509153951823	0.0718512191806	0.0701957070553	0.0615346665559	0.0576667343331	0.0913501232519
a33	0.0599099403402	0.338908669336	0.100658969792	0.0696708621851	0.050986156568	0.0659835466777	0.0653737681318	0.0677564260553	0.0647090083284	0.116042661508
a20	0.0563450687561	0.329057265512	0.0827825195173	0.0727382840217	0.0531111837949	0.0632445858389	0.0645940516839	0.0735074708284	0.0720315440135	0.132588026021
a31	0.0570380219387	0.311289122037	0.0829755617058	0.0624959207072	0.0527929015496	0.0743035050431	0.115147434499	0.0687867587499	0.0658175629846	0.109353205799
a8	0.0499133618596	0.291498504452	0.0879926739886	0.0668136139157	0.0504131455886	0.0767599502172	0.13422256085	0.0732606704637	0.0652562788589	0.1038692437
