 	devo	comprare	il	pane	ogni	giorno	</S>
a8	0.064774748639	0.164107498358	0.14362223776	0.10250197542	0.10893683593	0.20702132808	0.209035369882
a31	0.0507704290157	0.141216073358	0.134786176007	0.153614204527	0.11714202993	0.26561952428	0.13685153632
a10	0.0339620080239	0.0626299784127	0.107921364456	0.161835815376	0.149550467843	0.369037545427	0.115062793438
a20	0.0398028170771	0.0347909388509	0.108810701212	0.109780371685	0.200675433481	0.412681685662	0.0934580341928
a10	0.0426396620092	0.051197306197	0.146444949297	0.108011144895	0.22827881716	0.362301557007	0.0611265500044
a31	0.0441554279867	0.070321863139	0.171694096599	0.117987007565	0.257395735787	0.302496775402	0.0359490892548
a14	0.0493811417882	0.0545653949597	0.1729428399	0.137834755922	0.239118356929	0.310421266601	0.0357362367516
a31	0.0456275328081	0.0710482473866	0.1421650445	0.152261378641	0.224120580976	0.313894318	0.0508828845839
a37	0.0407382011427	0.0848585589289	0.128155873767	0.183783856214	0.201048708459	0.274226660667	0.0871881198613
a31	0.0425966812009	0.0703432831096	0.128586955256	0.215300915405	0.186851529286	0.241426544556	0.114894084687
a46	0.0684302009443	0.0609398116365	0.122083640685	0.234844687935	0.167024272695	0.223612538985	0.123064855442
</S>	0.0939568188181	0.0508875764183	0.115533225742	0.262672119167	0.131431129747	0.213684587192	0.131834545341
