 	io	voglio	che	Maria	venga	qui	</S>
a31	0.208352077275	0.11512322533	0.1396252427	0.0861760211944	0.14136435531	0.136591094104	0.172767987159
a39	0.236652731604	0.0996547243967	0.214153422367	0.115949956005	0.108298711242	0.105883567361	0.119406904626
a31	0.238575828581	0.0925032053989	0.281417179722	0.110975593619	0.0688428269193	0.0955231897459	0.112162203429
a37	0.222820601248	0.0918576589663	0.326335461174	0.12942527758	0.0578100370978	0.0829466018462	0.0888043765683
a31	0.274681374544	0.111268327842	0.300561812725	0.125160115712	0.0568501675239	0.0691226656316	0.0623555372481
a11	0.354796297023	0.136542476914	0.228952588375	0.0842082138297	0.0781464168413	0.0645555031725	0.052798493896
a20	0.366968357818	0.153692772471	0.172132221325	0.0519872446584	0.14721144968	0.0606602939022	0.047347635112
a4	0.356842777404	0.163365786377	0.138867982775	0.0290006194091	0.220379332893	0.0505245664147	0.041018923524
a24	0.310730086706	0.171934666312	0.110360410192	0.0202978105827	0.251254256498	0.0662883818156	0.0691343861013
a31	0.281642161769	0.177419153371	0.091411377264	0.0281464291689	0.260556518939	0.0707877597052	0.0900365964138
a11	0.268725743196	0.17140879089	0.087680766288	0.0350035502972	0.25260666702	0.0816241250351	0.102950363411
a24	0.249042143139	0.178791078697	0.0746740967627	0.031999871192	0.209817162207	0.125110234812	0.130565425504
a31	0.20950370918	0.198064157099	0.0964953745876	0.059258172991	0.179039305069	0.119298617871	0.138340667421
a46	0.163241005793	0.193380876833	0.113642908863	0.0778222394567	0.166600772156	0.122811732957	0.162500461994
a8	0.160270494731	0.179672385411	0.107499295621	0.0697171492869	0.145294331919	0.149373606786	0.188172725531
</S>	0.167356075465	0.182109427705	0.10576676481	0.0691721818414	0.13246391216	0.148101504093	0.195030110666
