 	deve	essere	bianco	</S>
a31	0.459612535408	0.11162157827	0.25395249558	0.17481337071
a11	0.533222061021	0.0913551882118	0.19007017521	0.185352560163
a31	0.545236232524	0.0765522047324	0.114890873967	0.26332069125
a37	0.549983459165	0.0566928732761	0.105739474469	0.287584192959
a31	0.517745144238	0.0556281002707	0.123253941843	0.303372812037
a37	0.483420933503	0.0808504129702	0.126223770634	0.30950488621
a31	0.427523589721	0.133722817743	0.171482843145	0.267270758003
a20	0.399607446574	0.194733611274	0.214626712848	0.191032246601
a31	0.384628539791	0.189198090318	0.242446502016	0.183726868334
a0	0.362735706197	0.175928991906	0.270949130939	0.190386153311
a31	0.346292560866	0.183881930102	0.277013251046	0.192812241904
a20	0.315915996422	0.186611392434	0.286660710149	0.210811890501
a18	0.302124854141	0.196731821678	0.297428212716	0.203715105967
</S>	0.316859147071	0.187741717839	0.294599201358	0.200799926983
