 	venne	scritto	</S>
a31	0.4406643415	0.30809443114	0.25124122396
a28	0.461019093567	0.37401878494	0.164962115257
a8	0.430846817656	0.438916539447	0.130236641662
a31	0.421385624812	0.432477843536	0.146136545051
a20	0.407649747664	0.436906167179	0.155444109274
a31	0.439199636088	0.399959364673	0.160841016385
a13	0.402799878029	0.429089594224	0.168110529062
a29	0.40667921001	0.422753500741	0.170567289354
a39	0.481173090003	0.362537146247	0.156289773451
a31	0.458010135334	0.348584289416	0.193405577817
a35	0.414897936445	0.362458188472	0.222643864339
a31	0.364414486148	0.369254310157	0.266331197046
</S>	0.322184960074	0.373374099078	0.304440940323
