 	non	mi	aspetti	non	vengo	</S>
a33	0.0935883483406	0.126067212007	0.182757315832	0.09496911453	0.3241860934	0.1784319577
a31	0.0687252584073	0.137595171005	0.261391150232	0.0605952227767	0.337928724533	0.133764508513
a37	0.0470932833358	0.098079408319	0.291329380797	0.0476221600856	0.357925671378	0.15795011754
a35	0.0484354385053	0.0761062701663	0.256323553092	0.0494966572752	0.352346074259	0.217292008909
a31	0.0958198906551	0.10258251255	0.212541645887	0.0474295291851	0.317111515086	0.22451490367
a7	0.120685288665	0.134091474789	0.185325001745	0.0587534379084	0.295921615629	0.205223180457
a18	0.094999764575	0.118687447087	0.172476884348	0.0739425765895	0.35186233481	0.188030991152
a24	0.074485963605	0.103768503226	0.157940418716	0.0891660432632	0.415407133603	0.159231928317
a31	0.074844043815	0.154544335059	0.160918945705	0.0874209275811	0.397261431868	0.125010311706
a20	0.0697301090423	0.164801008223	0.176467619702	0.103679586287	0.377377359956	0.107944340169
a8	0.0694824623648	0.118519994231	0.169867119034	0.118370631629	0.390323327985	0.13343647999
a31	0.0904581719683	0.11347533909	0.169492178478	0.10183551801	0.347007015128	0.17773177793
</S>	0.101783276484	0.115868836675	0.176117091239	0.097788779305	0.303013194264	0.205428826965
