 	e	che	cucino	</S>
a31	0.412561389144	0.20805069787	0.204930508475	0.17445740839
a24	0.419790033901	0.210552531803	0.242957000742	0.126700448862
a31	0.44258840557	0.211222131734	0.227087548057	0.119101926493
a11	0.415263789883	0.211646956611	0.241716987082	0.131372266511
a46	0.379253482808	0.191463423837	0.303099826967	0.126183265904
a41	0.438116207269	0.213691458746	0.260750236056	0.0874420869987
a20	0.45878909509	0.270130583915	0.210823550132	0.0602567472716
a36	0.409592792363	0.302797307972	0.214279967644	0.0733299153985
a31	0.310914243721	0.280897512657	0.274339421215	0.1338488104
a46	0.22879499244	0.244780856552	0.311124204672	0.215299933133
</S>	0.20044774462	0.256094680776	0.294752193736	0.248705367067
