 	tutto	il	cibo	vuole	girato	</S>
a31	0.128357141751	0.02301622448	0.3234530999	0.11702610275	0.169720017135	0.23842739708
a8	0.114853804364	0.0225092028933	0.354900885433	0.132541892963	0.187460871659	0.187733323532
a31	0.111603796201	0.0587527835578	0.290730119878	0.146899102061	0.190221127117	0.201793058316
a29	0.0881143212003	0.0960967162859	0.301617142559	0.153596469167	0.162004056412	0.198571296439
a20	0.12030788658	0.129111278455	0.30594046452	0.122337260889	0.134755047839	0.18754806485
a39	0.16188649004	0.165634836372	0.253964996907	0.0964487844897	0.140218049828	0.181846838877
a31	0.232905809547	0.138967362124	0.212727797569	0.100907483921	0.172670504278	0.141821046684
a0	0.259161024249	0.107808622055	0.200858415056	0.0878103478583	0.212967820715	0.131393789989
a31	0.231829994216	0.0974141034517	0.186896883285	0.0870027388128	0.266312543905	0.130543734516
a24	0.267369650405	0.0685438712839	0.167124840975	0.0790596952443	0.293050906368	0.124851027172
a36	0.329301101202	0.0503108506213	0.163277222805	0.0543930956348	0.262443941656	0.140273805337
a11	0.345996958267	0.0412040381938	0.160123366668	0.0540772189383	0.261276980852	0.137321463855
a17	0.354815553289	0.0365310652713	0.140696533089	0.0519935738594	0.261501674051	0.15446161219
a31	0.32593520283	0.0383245826704	0.151611917363	0.0594493769331	0.269924029284	0.154754884386
a6	0.254687878477	0.0509968707968	0.189530330054	0.0818890600244	0.276703084295	0.146192779662
a31	0.207804762159	0.0639100830456	0.196299318218	0.0974862197681	0.273894833432	0.160604798087
a24	0.19407273392	0.0861546230485	0.192927630206	0.102278373749	0.269582200477	0.154984436762
a6	0.203118498373	0.105740017923	0.204392784135	0.11265157965	0.237841266826	0.136255834654
a31	0.203023908791	0.0965888539943	0.191939756512	0.113584882237	0.222173126275	0.172689456018
a46	0.196061949997	0.102277876511	0.178658058437	0.109724355279	0.227050874758	0.186226875539
a39	0.198236857666	0.115423447157	0.182962350479	0.112819906206	0.219535146919	0.171022286513
a31	0.190830766889	0.109570684666	0.174367602493	0.112516622269	0.214838404973	0.197875906971
a41	0.189313692963	0.113994386855	0.165883378298	0.110402540956	0.218011960991	0.202394024857
a8	0.215098035654	0.127300475925	0.172134301899	0.110747418852	0.211206440997	0.163513322552
</S>	0.232843936827	0.130724613193	0.177943497949	0.112710650126	0.207707199499	0.138070106076
