 	si	è	rotta	la	coppa	</S>
a31	0.126969007265	0.17792531252	0.18502923567	0.20450386857	0.2414019676	0.06417063074
a20	0.138210033265	0.142714248893	0.205091719723	0.15795475627	0.3083437624	0.0476854960753
a19	0.11893773716	0.069823034031	0.216548479074	0.171797036257	0.37196382478	0.0509298957184
a18	0.196822008165	0.067197702977	0.226198657158	0.161736879886	0.294497938507	0.0535468163175
a27	0.262787458326	0.0795852447257	0.189591520186	0.111745089029	0.293176814636	0.0631138613725
a31	0.218565120187	0.114526041995	0.126811322929	0.131900563676	0.355717206679	0.0524797364842
a39	0.153264374096	0.121715867152	0.10730265151	0.172590524359	0.373587530026	0.0715390555881
a31	0.164318222699	0.0945675685907	0.118636828103	0.195319733053	0.319590487342	0.107567158129
a46	0.172394735966	0.0927804654036	0.132162317368	0.240234379684	0.229336392447	0.13309170471
a31	0.146985408589	0.104548135221	0.139938712256	0.259238642361	0.166954948149	0.182334155063
a20	0.145498076596	0.117872149427	0.131999198352	0.25624562832	0.135982563383	0.212402389581
</S>	0.146205485898	0.121233165113	0.122565551176	0.26429081376	0.130085123691	0.215619864891
