 	non	ha	che	li	aspettiamo	</S>
a46	0.1778831725	0.229506531018	0.23727313363	0.053187098042	0.195173754207	0.10697630327
a31	0.172228525367	0.31335974329	0.203335162723	0.0283041022993	0.191714856586	0.0910575868807
a15	0.182206630829	0.342777792931	0.153362220221	0.0290529388191	0.192264294987	0.100336110484
a31	0.12742175365	0.309515252366	0.24285790434	0.0451940125044	0.188864738462	0.086146337928
a28	0.112078076643	0.239314810275	0.324097437447	0.0575984064375	0.188103180496	0.0788080828693
a20	0.115679786374	0.244754248389	0.315166594082	0.0530468453125	0.184490791383	0.0868617330631
a11	0.144490921458	0.2423497376	0.290560631227	0.0510320320708	0.1764361754	0.0951304993544
a31	0.186519126486	0.25364145556	0.223668967276	0.0533147351236	0.17733123221	0.105524484451
a11	0.195266238502	0.24863603804	0.189197902025	0.0478374510679	0.196630618737	0.122431746484
a31	0.184643878574	0.207837557473	0.173460404208	0.0481034787826	0.230667482912	0.155287188561
a46	0.175174143791	0.183247267178	0.128507937269	0.0622369733275	0.248447216571	0.202386448587
a31	0.202898849197	0.159061073813	0.123282762623	0.0767439403758	0.21100343179	0.227009937529
a11	0.216165885399	0.144593031238	0.122428643474	0.0929660016586	0.196923768263	0.22692267611
a31	0.2135543538	0.136410304713	0.133095314158	0.108965199553	0.190082530154	0.21789229897
a11	0.224561385933	0.144375073971	0.137047233386	0.108720255251	0.182613744851	0.202682300323
a46	0.211155888311	0.138315986857	0.126478159062	0.10669344155	0.216055412284	0.201301110774
</S>	0.217688378656	0.127619348129	0.121454755931	0.104945022875	0.226920139542	0.201372368387
