 	non	aveva	da	stare	</S>
a37	0.13109283666	0.1536263285	0.17396279218	0.44075667003	0.10056138619
a38	0.08356501924	0.122268581357	0.217213013354	0.477861661517	0.099091735839
a24	0.045141924548	0.104356454312	0.190043405847	0.578343180372	0.0821150354216
a8	0.0650281360507	0.137189590186	0.116355816973	0.565009566191	0.116416882734
a17	0.133094715097	0.190947783389	0.0754177079463	0.418753786824	0.181785994778
a31	0.127490462486	0.184150161523	0.0690196593888	0.399630122968	0.219709588919
a20	0.089983633002	0.175036524588	0.0791775313363	0.471585882989	0.184216428866
a8	0.0810070628473	0.188728330996	0.0802897931788	0.465771222996	0.184203594022
a31	0.0595822151958	0.169760904332	0.0801933105703	0.489745342999	0.200718230741
a20	0.0672647344786	0.164950258044	0.0974131115741	0.461959917666	0.208411978914
a31	0.0989803019062	0.169503311615	0.120413120185	0.354346783889	0.256756478571
a8	0.125910765515	0.159026589205	0.119495785675	0.311600481563	0.28396637379
a31	0.139454209118	0.155023622068	0.117962920678	0.306797365454	0.280761878063
</S>	0.140547516259	0.146347002534	0.126386406379	0.310451448727	0.276267619332
