 	io	non	ho	niente	da	mangiare	</S>
a8	0.104851888659	0.07482834189	0.126878665906	0.250049526606	0.11385877217	0.113263133195	0.216269690267
a31	0.0946116254987	0.05243770627	0.131085050953	0.27490772408	0.121094362029	0.198761091282	0.127102450036
a8	0.111476876578	0.05910259043	0.099942806851	0.2963183907	0.102177045795	0.239031757827	0.0919505394197
a20	0.147819367593	0.069133308146	0.120300981444	0.288547232233	0.0900777969917	0.191728544229	0.0923927796452
a31	0.151902104078	0.0629145649047	0.139591841328	0.296721563671	0.0955124648439	0.138896476563	0.114460985735
a14	0.150836676493	0.0511626386709	0.159565465229	0.337196718817	0.0861962105813	0.105415297388	0.109626981965
a31	0.174343986184	0.0478482203836	0.189826150376	0.299207396939	0.104469543027	0.091121105196	0.0931835661617
a13	0.170624421589	0.0399118805212	0.231613718025	0.296181477646	0.103476693809	0.067279428612	0.0909123612606
a37	0.183975883612	0.0353928826524	0.207839751275	0.376617342949	0.083568311003	0.0491284786173	0.0634773501202
a10	0.205582289376	0.0382650104935	0.122268643592	0.477189839383	0.067438766301	0.0384490537391	0.0508064014867
a20	0.200634943577	0.0381386187912	0.078447136904	0.546305557128	0.0554633780803	0.0357128874064	0.0452974785289
a7	0.171645933419	0.0403489837371	0.0655539698747	0.591268753043	0.0500702046201	0.0405229999621	0.0405891734296
a18	0.130859204806	0.0437940866057	0.0683192640582	0.601520937014	0.05495761172	0.057882233254	0.0426666848165
a44	0.0986122795687	0.0614108937886	0.0849092522927	0.581321241005	0.0573067589067	0.0737120737713	0.0427275141455
</S>	0.0873173402344	0.0803876869943	0.102251532906	0.551465246503	0.0564909203534	0.0800624665156	0.0420248347727
