 	le	melanzane	vogliono	girate	</S>
a31	0.25606083166	0.35143336105	0.126347269739	0.10084819652	0.16531035694
a35	0.235367251807	0.386120190183	0.0623670331193	0.140154353953	0.175991174027
a41	0.145285308996	0.409949215128	0.0770042854104	0.177035867184	0.190725300296
a10	0.113933973759	0.412648466909	0.0838096100608	0.226814429461	0.162793503665
a18	0.154145146095	0.430341636616	0.0539252811203	0.24878391302	0.112804017942
a35	0.183536896314	0.435752991295	0.0431200600734	0.25891690494	0.0786731652007
a31	0.155521755465	0.453735526008	0.0603987205578	0.269381703667	0.0609623323802
a34	0.122039324155	0.427397661669	0.127880712586	0.231894636709	0.0907876850401
a8	0.0915153166583	0.342336108356	0.190317155595	0.22476215547	0.151069263833
a31	0.0852333582354	0.299457396585	0.176575753132	0.210077055723	0.228656435851
a8	0.0938123616545	0.301672995062	0.163863482977	0.166105179041	0.274545974704
</S>	0.0962504012273	0.304892240331	0.175848621589	0.15581270582	0.267196016052
