 	mi	sono	vestito	</S>
a39	0.36250630079	0.20696136217	0.2179916559	0.21254067902
a11	0.47608428679	0.17297633031	0.173085278367	0.17785409032
a13	0.507601127463	0.105157410257	0.238271273189	0.148970171607
a18	0.433387641021	0.105653684112	0.301742295063	0.159216365029
a31	0.370323032007	0.120108394551	0.353798658621	0.155769895103
a37	0.384176295269	0.0993070744703	0.362759440807	0.153757190634
a15	0.39067815269	0.123870146023	0.317274968869	0.168176745145
a31	0.35961532187	0.143559295208	0.325857736556	0.170967661048
a46	0.274996904997	0.129546345936	0.380771834452	0.214684931416
a31	0.185974248732	0.114997104645	0.382798910151	0.316229759139
a20	0.194708406877	0.102275275082	0.36671035805	0.336305976046
a31	0.200549963726	0.132263756561	0.34241900735	0.324767272349
</S>	0.179431302563	0.15566209578	0.317253116675	0.347653481175
