 	vogliono	girate	</S>
a31	0.32175264893	0.3737275498	0.3045198189
a20	0.286709722863	0.440192135133	0.2730981439
a31	0.268519874021	0.487367494044	0.2441126141
a18	0.194826126134	0.559152187681	0.246021669233
a46	0.113999916791	0.592362729894	0.293637349411
a31	0.147568790217	0.517895503965	0.334535710804
a3	0.211342252872	0.492056629988	0.296601118468
a10	0.264657314357	0.508046015329	0.227296666023
a39	0.272565980119	0.493638522443	0.233795500408
</S>	0.257107530859	0.474511408222	0.268381068304
