 	ora	che	loro	non	vengono	più	</S>
a39	0.319559109919	0.146268453996	0.19959343454	0.049632844898	0.01158471669	0.037408642173	0.235952790704
a20	0.264818936385	0.141690520129	0.259456097913	0.095872087118	0.00684905135075	0.0326635974257	0.198649697802
a13	0.230454719662	0.113487157276	0.346595254024	0.107251797813	0.00709543017234	0.0413987587732	0.153716871411
a17	0.212530455887	0.172276123405	0.364541319569	0.0752815604777	0.00791342448928	0.0492573588177	0.118199742571
a39	0.205467460162	0.255555596162	0.310768553328	0.0486283040992	0.0117503935679	0.0662878873326	0.101541781972
a8	0.260531280867	0.292119837014	0.238710504762	0.0313674194797	0.0131446326611	0.0740797967602	0.0900465044269
a31	0.289519598636	0.262517693538	0.251537160863	0.0286511090066	0.0236625818859	0.0634218830883	0.0806899760876
a15	0.348988795542	0.207982279713	0.243843047992	0.0244819682142	0.0412963806979	0.065988507415	0.0674190308263
a38	0.400145038644	0.204229202304	0.169742009722	0.0268207433501	0.0530348516604	0.077329051425	0.0686991066148
a31	0.338441962081	0.215729634341	0.217411365267	0.04442537865	0.0518550842888	0.062354158793	0.0697824120576
a13	0.34916256156	0.18485413682	0.240334368076	0.0434068874833	0.062151712513	0.0554015871023	0.0646887477985
a20	0.429087265653	0.16138161346	0.174627271699	0.0298513989411	0.0847192847239	0.0584414725808	0.0618917149728
a7	0.463699391418	0.15589782038	0.14675301786	0.028958499547	0.0992723397085	0.0530573214336	0.0523616317043
a11	0.463643990339	0.1585652666	0.141934716253	0.0362598355357	0.106098461735	0.0444809244845	0.0490168132814
a24	0.465650240246	0.150318962567	0.145606508518	0.0447060232719	0.0988700019043	0.0394403817682	0.0554078746338
a15	0.440420792082	0.147459678362	0.145661973706	0.051174832984	0.107654514901	0.0405340378894	0.0670941477379
a24	0.414001148027	0.165229564727	0.147706533102	0.0672468313147	0.0947532498263	0.0401623266631	0.070900322126
a31	0.409068859609	0.170119618376	0.172590690967	0.0830484793849	0.0611742103168	0.0373036337144	0.0666945122687
a0	0.40297339947	0.165085713025	0.169017258922	0.089112516695	0.0554344277163	0.0499019175981	0.0684747918696
a18	0.376598097823	0.170853469542	0.151682180641	0.0954277319383	0.0503098826521	0.062900152066	0.0922284898432
a31	0.327695761808	0.163323727727	0.184101812347	0.100800322646	0.045189314824	0.0620430072887	0.116846043768
a38	0.314750606469	0.154577084722	0.194829689689	0.101648020149	0.044477399988	0.0726975174162	0.117019665189
a31	0.285057730823	0.148551515434	0.204416884803	0.105931141416	0.045120767298	0.0737031683654	0.137218779386
a20	0.250970154941	0.142209035671	0.218047021201	0.107228962505	0.0467451737213	0.0693717379618	0.165427921718
a31	0.24153211498	0.139451514064	0.222431041734	0.107451229235	0.0502810494138	0.0688124729739	0.170040587801
a35	0.19396446706	0.134577292928	0.230108767645	0.114712029878	0.0683343661113	0.0818335034446	0.176469572362
a31	0.180301224153	0.130962783823	0.233503763548	0.114143721293	0.0747229452371	0.0886461867315	0.177719364967
a18	0.181961443451	0.138271471054	0.232431923516	0.113861718831	0.0715455175524	0.0846807544938	0.177247153909
a31	0.177956304817	0.138515340638	0.232043795172	0.115357547077	0.0737465124108	0.0860669036473	0.176313580931
a46	0.166933505339	0.130543864966	0.232839419057	0.116955575026	0.0757268546169	0.0926517533651	0.184349018305
a39	0.170268036446	0.121721786189	0.221107035019	0.122058634609	0.0761550957656	0.100560866035	0.188128548272
a31	0.194316240549	0.108930516156	0.231914327006	0.124569825536	0.0752769399819	0.092957158905	0.17203499831
</S>	0.189959551474	0.108336551918	0.243379874503	0.125797172768	0.077778564901	0.0908539763225	0.163894308689
