 	qualcuno	al	telefono	vuole	sapere	dell'	Anna	</S>
a23	0.0778620951056	0.030206509853	0.111914600506	0.032295476423	0.07069895846	0.19204078482	0.2709459345	0.214035678276
a31	0.0562160577256	0.0255447568237	0.11053292577	0.0427785066823	0.0933729829267	0.26642186562	0.288062498567	0.11707043975
a29	0.0365777527952	0.0306787113215	0.163000442723	0.0714269697454	0.110300666909	0.233398494973	0.291012917122	0.0636040602012
a46	0.0321882352651	0.0480691359741	0.211666443068	0.0830768178838	0.10946348987	0.114541182824	0.346527930907	0.0544667703064
a11	0.0344524741484	0.0526645345634	0.209665896483	0.0682840772926	0.0830190241193	0.0688699455613	0.400802274302	0.0822417691981
a20	0.0773998017095	0.0614920341545	0.216287675928	0.0548421918829	0.0564091679958	0.0505917902338	0.386154783434	0.0968225413994
a8	0.125990116556	0.0904420192042	0.233579756709	0.053149363741	0.0499120728919	0.0430828273713	0.297998434478	0.105845401133
a31	0.125958539239	0.114353746793	0.255786642703	0.057362378131	0.0642613434306	0.0401697933904	0.242282769226	0.099824777111
a38	0.163779723346	0.103997419164	0.210506207034	0.0643781731543	0.0972946514769	0.0551065615968	0.223322693475	0.081614567717
a31	0.173516166295	0.0947954249747	0.195285040345	0.0709546805521	0.115072384892	0.0606203149989	0.224057474758	0.065698523019
a24	0.136703991812	0.0890219680116	0.192690419682	0.0674129808114	0.118761902897	0.0663976992663	0.269533555186	0.059477496173
a37	0.164574145137	0.0935725627505	0.160946118661	0.0630868836771	0.125632583366	0.0716239338554	0.269083590975	0.0514801727243
a15	0.196194340712	0.0959035317168	0.162270326887	0.067526899779	0.140469500922	0.0849663705185	0.216356673505	0.0363123217948
a31	0.182424863304	0.0982312709423	0.158034580762	0.0683687359063	0.157217301774	0.103245602306	0.180575728035	0.0519018958183
a20	0.165082963235	0.118618612464	0.162625437254	0.0670057064821	0.160406767191	0.0977088866353	0.163579559345	0.0649720655394
a31	0.157680743012	0.121981766457	0.161977327018	0.0707302962874	0.15993966033	0.0856156251451	0.150702398515	0.0913721987798
a37	0.150304637137	0.121786450448	0.189987692673	0.0759644458891	0.134907147777	0.0805435966484	0.128737023972	0.117769024927
a46	0.150779634779	0.105907335449	0.228997290291	0.0828229699964	0.106706916192	0.0915157582161	0.113184922991	0.120085176442
a20	0.144432925193	0.096913361383	0.23972172303	0.0838526116321	0.0999347153973	0.104302902805	0.102381408664	0.128460349614
a24	0.135249043064	0.101027392168	0.226993593943	0.0808500180774	0.0954713281324	0.121691204268	0.105715314355	0.133002106671
a31	0.141592324021	0.103016281739	0.195512811714	0.0812264593325	0.112816199311	0.123224573023	0.109732569852	0.132878780824
a17	0.151885770007	0.10501292609	0.205664824905	0.0810591764175	0.110005396837	0.107507293474	0.100457467351	0.138407152608
a20	0.137357940669	0.105146139343	0.245678713235	0.0831873430058	0.0899347861457	0.105185167625	0.089212425717	0.144297500269
a38	0.11834465329	0.105518759781	0.255688912745	0.0846330705353	0.0876034108486	0.117381063008	0.0870591407057	0.143770996356
a31	0.130905775097	0.106667263049	0.221476679315	0.0874436903851	0.102602830483	0.115291510136	0.0964022874352	0.139209979052
a17	0.144347249832	0.110880326992	0.216300215772	0.0897363818684	0.105095030694	0.0982558533787	0.0977360400784	0.137648924417
a31	0.141813829744	0.117704638641	0.215718013924	0.0940592789428	0.0998958517647	0.0874521364596	0.106961323626	0.136394939939
a37	0.137672215915	0.119728466184	0.215142239975	0.0963615612343	0.0999696499882	0.0838461458865	0.112848513742	0.134431209146
</S>	0.129862447558	0.117214255462	0.243244773388	0.0948191052172	0.0937392598941	0.0831741855432	0.101993110671	0.135952857423
