 	ha	potuto	entrare	dalla	finestra	</S>
a46	0.27369163767	0.0756982582416	0.159620659059	0.17485913836	0.1606448878	0.155485411054
a31	0.158682915623	0.119401482955	0.191463342416	0.226931173744	0.202936241791	0.100584850805
a8	0.131518966374	0.161022663483	0.169717980832	0.26687369894	0.205565018408	0.0653016858975
a31	0.276065332731	0.118233166063	0.123638484909	0.215096728874	0.146641431183	0.120324867444
a15	0.42913440975	0.0510183065448	0.0542170622943	0.145291833238	0.112969543779	0.207368855499
a13	0.421912606363	0.0277922020101	0.0419823412848	0.129794387646	0.085014686451	0.293503785084
a24	0.406593922368	0.0706810065559	0.0477020482816	0.120324089642	0.071707669217	0.282991275188
a31	0.426030184656	0.136025145014	0.0439593327739	0.127594367203	0.103141733772	0.163249252169
a18	0.343661627552	0.155425670269	0.050738112658	0.174371314943	0.144285768944	0.13151752599
a31	0.233731295384	0.156700257783	0.0700108533527	0.202562988167	0.160640796981	0.17635383253
a20	0.236933324995	0.144597895828	0.0691061383842	0.197441329841	0.174659933994	0.177261395643
a11	0.242041393865	0.136552990409	0.0724659465281	0.189980711347	0.194864361758	0.164094602481
a8	0.213718900088	0.140881514623	0.0951440323094	0.189640756582	0.205378522546	0.15523627796
a31	0.222257379963	0.122405559534	0.122271787236	0.186173542794	0.176659968582	0.170231772853
a8	0.207091168854	0.102750459865	0.150974482879	0.189637262198	0.160962566461	0.188584067551
a31	0.199294141751	0.0881667022417	0.14911731876	0.198294613333	0.17072140782	0.194405820717
</S>	0.208110504675	0.0780380854209	0.13512791038	0.198548634567	0.17505708781	0.205117784358
