 	io	non	so	cosa	è	da	scrivere	</S>
a48	0.220710362503	0.06635819818	0.018818902326	0.0409121095102	0.14355640803	0.138917526646	0.298124789536	0.0726017284204
a31	0.222933489649	0.0778230946083	0.127243707336	0.0678030183159	0.162438102937	0.173730234968	0.140999415491	0.0270289499663
a14	0.261797355818	0.0659660151166	0.191535699585	0.0693893068045	0.155319439448	0.193571684416	0.0515023883115	0.0109181115986
a37	0.295032837195	0.0720733165311	0.115125915165	0.0682548108005	0.197350404348	0.171433741996	0.0360170244525	0.0447119382541
a10	0.315492367732	0.106031697024	0.0827328026417	0.0782220885554	0.163704566022	0.108670785627	0.0729712693868	0.072174412638
a31	0.395161930844	0.142639196348	0.0829886318539	0.0731604544985	0.102151491116	0.0666001348512	0.0852389680689	0.0520592077793
a28	0.389993469215	0.139070134443	0.102401471658	0.0711241556176	0.0842674440753	0.0849394098064	0.0670531555896	0.0611507683358
a31	0.326810546472	0.104604509348	0.0916123412593	0.0582501525984	0.0765670564684	0.128432355102	0.0998597107632	0.113863324241
a42	0.301543678224	0.074557599416	0.0737876889531	0.0716187120832	0.0884644174495	0.140488685391	0.132178921388	0.1173602992
a23	0.296145670741	0.0862647062053	0.0759919536177	0.0829504961417	0.0919163469232	0.131008919791	0.128086234729	0.10763566082
a8	0.311808808914	0.0936237072351	0.0719697796859	0.0708425999059	0.0769650169544	0.121319028363	0.11629641051	0.137174636313
</S>	0.314359164457	0.0873658091675	0.079375910513	0.073391553289	0.0774935974772	0.111654350501	0.109249577555	0.147110033307
