 	è	facile	che	stanno	ancora	svegli	</S>
a31	0.161562284991	0.123968836647	0.11232827452	0.0879890878	0.1447813249	0.261873687	0.10749651416
a39	0.126171975189	0.0845424972681	0.113394826433	0.0606264005533	0.200587805767	0.34975106206	0.0649254306667
a31	0.140248631471	0.0778431432625	0.0980268063577	0.0758132133711	0.196208057189	0.361389928147	0.0504702335489
a0	0.11068205524	0.0841789794606	0.116024308226	0.108150115477	0.211877614263	0.326991849421	0.0420950845236
a31	0.0930332566367	0.0638036985946	0.134367579162	0.135034824135	0.242614580888	0.279120991779	0.0520250418979
a13	0.107184018897	0.0507804264642	0.129197860721	0.155545541135	0.257954387363	0.233592684993	0.0657450536386
a31	0.072897623317	0.0431551528154	0.130990701374	0.169094872433	0.279000667521	0.233609022931	0.0712519417162
a37	0.0463425864123	0.0408825491331	0.126528466685	0.175372369864	0.284249636907	0.243288353444	0.0833360364921
a31	0.0407154138708	0.0588969636484	0.113122147655	0.195704795521	0.254138152902	0.200895130748	0.136527402117
a11	0.0623830570036	0.0732100359661	0.100864209018	0.213644280307	0.207552140701	0.158396000049	0.183950291906
a39	0.0949679880479	0.0795423648254	0.0987045393393	0.217567145036	0.178501542034	0.134962394283	0.195754030302
a0	0.107304261683	0.0949288426058	0.0997166055131	0.221112509679	0.147962710678	0.124526697028	0.204448357101
a41	0.131979931161	0.107258131813	0.0920020980377	0.21060074596	0.129213153893	0.117701177009	0.2112447641
a0	0.15105356412	0.108502286089	0.0820152458126	0.192064278587	0.122760891631	0.12442520167	0.219178537233
a20	0.128591861573	0.111537521483	0.0857069744709	0.176488782396	0.125594846877	0.148202191223	0.223877822278
a31	0.0936618177243	0.104547004334	0.0874832182903	0.232637755865	0.117138396959	0.140835181674	0.223696635919
a30	0.0843788074414	0.0991526716113	0.0812303456301	0.250144639955	0.115479101586	0.146247589158	0.223366853933
a41	0.0991184364805	0.112823906024	0.10058977741	0.207594939718	0.124333313529	0.160687752719	0.194851867711
a31	0.111158430094	0.118855615075	0.113405906803	0.200023763639	0.12701668391	0.15822804524	0.171311553037
</S>	0.112584649947	0.116115327937	0.107253280901	0.190096658819	0.129114598955	0.16595155162	0.178883940618
