 	siete	cucinato	</S>
a20	0.498588329087	0.3423303809	0.15908132241
a31	0.519381168474	0.400527079233	0.0800917751938
a18	0.491835426011	0.449161627686	0.0590029598844
a21	0.50541048529	0.416265038904	0.0783244884308
a37	0.52283183505	0.391411194479	0.0857569820703
a21	0.54182089415	0.341783396571	0.116395722043
a31	0.49800888405	0.333109974157	0.168881157881
a18	0.433596352683	0.364128532052	0.202275127694
a31	0.366802009828	0.365868980684	0.267329021631
</S>	0.301633064314	0.377613455342	0.320753494815
