 	non	ha	da	mangiare	</S>
a31	0.2818726143	0.2049939868	0.15930342117	0.1964990081	0.15733097831
a20	0.2436762913	0.222106358847	0.161289015143	0.237553340233	0.135375019657
a31	0.264703420433	0.164498507862	0.129561050634	0.282356825744	0.15888024016
a41	0.221153254848	0.146959745201	0.117087964785	0.319692241981	0.195106817194
a10	0.147134836119	0.143275919314	0.116685161768	0.36621907186	0.226685018798
a31	0.225920842506	0.169234282905	0.0920454846027	0.308313815287	0.204485581686
a15	0.232446555982	0.194002013042	0.115780061628	0.282744262429	0.175027108715
a31	0.195502467141	0.178828361021	0.154367234369	0.271359734143	0.199942209305
a39	0.193110231267	0.169575919674	0.159287908056	0.254271920848	0.223754032702
a37	0.174399223309	0.166186148425	0.159629990352	0.252275874416	0.247508787167
</S>	0.173433483655	0.167021414013	0.154509596076	0.243530167208	0.261505367584
