 	il	vino	buono	deve	essere	invecchiato	</S>
a24	0.351285719	0.212270416138	0.0623807118355	0.0242205157036	0.010531455872	0.167523305486	0.171787907787
a46	0.312480678267	0.323535842827	0.0359495087593	0.0412892057345	0.0100312317466	0.121191557241	0.155521995325
a31	0.262302294889	0.303838443195	0.0229474264314	0.0523763083281	0.0105937151072	0.149020651298	0.198921170502
a17	0.268461134363	0.270478445398	0.0176196617546	0.103343520713	0.00990476790013	0.166495216612	0.163697269229
a37	0.263763154121	0.251503117601	0.0443960005049	0.146821041451	0.017346276084	0.14515956009	0.131010855966
a31	0.268273906307	0.19996910303	0.0731569729016	0.137303135317	0.0228477389653	0.142218499501	0.156230620042
a39	0.238585487969	0.1286685424	0.0924334726339	0.162787403506	0.0433165868838	0.166694978917	0.167513505601
a31	0.175859816056	0.125641673483	0.120577445478	0.161319220522	0.0853260338813	0.158970913189	0.172304890867
a37	0.114019152885	0.1452142914	0.139164675559	0.143105571461	0.125690777147	0.17295317891	0.159852360822
a31	0.126265985962	0.128872456135	0.17433401392	0.145672522554	0.126752012409	0.168048996503	0.130054008874
a46	0.143082081921	0.124264190323	0.173795261973	0.129748814851	0.107647072543	0.172771729234	0.148690830025
a31	0.157371769907	0.107865964139	0.169598609924	0.11866136495	0.0981830350943	0.176401633078	0.171917614475
a46	0.166812970569	0.0872120705797	0.172235799641	0.113054639783	0.0908351199714	0.178160285026	0.191689106425
</S>	0.151711194184	0.0776377390898	0.14977166582	0.111986290392	0.0910703251157	0.213309677513	0.204513096313
