 	dei	genitori	</S>
a31	0.386948322041	0.2722018874	0.34084979818
a20	0.378292977526	0.315220423693	0.306486598573
a31	0.400821682768	0.368729636791	0.230448676804
a18	0.443821723024	0.31724698243	0.238931284568
a24	0.332143813448	0.294612458177	0.373243706789
a28	0.285287487803	0.232386696306	0.48232579273
a31	0.362285004228	0.164026472615	0.473688516377
a20	0.456846609143	0.161619214738	0.381534182526
a31	0.474544759714	0.187454624579	0.338000615575
a20	0.469993866571	0.218948540526	0.311057589525
a39	0.50065997019	0.227396095509	0.271943929508
a46	0.525767920063	0.221099522503	0.253132556169
</S>	0.526355280032	0.219512554252	0.254132168085
