 	questa	canzone	venne	scritta	molti	anni	fa	da	un	nostro	poeta	</S>
a31	0.0114458281106	0.0282425009288	0.0456803549996	0.023826369215	0.21281905753	0.09213894279	0.06534959738	0.06357157539	0.168492153436	0.125406621508	0.0931967039983	0.069830313023
a11	0.00690384383098	0.0130467259997	0.0319962560423	0.0367180148383	0.279579379443	0.12267784755	0.06437132894	0.0650868933113	0.212908764378	0.0787986990537	0.0547169084401	0.0331953602858
a15	0.00847121450174	0.0344589955211	0.0360425156968	0.0552283881228	0.331835392481	0.133624777457	0.0535465916733	0.0488608660651	0.1734209466	0.0610456258874	0.0407126455273	0.0227520598264
a11	0.0185567171076	0.074016521226	0.0458093732989	0.0734618521076	0.327473232494	0.104903638272	0.0509385784911	0.0429077107417	0.151462139	0.0521687773543	0.03910140543	0.0192000532018
a13	0.0307662173539	0.100564080124	0.0546371641663	0.0969239127359	0.304217133498	0.093365250224	0.0513674093104	0.0327140251339	0.118196940867	0.0570619453821	0.0419844469769	0.0182014735566
a7	0.0370352846046	0.126928063835	0.0695487869221	0.103705386345	0.279260953566	0.0961525427413	0.0536794168501	0.0278631776646	0.0768089919557	0.0652719534816	0.0448526215561	0.0188928253678
a18	0.0549052432815	0.145067258712	0.0899511871074	0.110151265982	0.245170570255	0.0959589623804	0.04747123955	0.0202223919082	0.0510745999852	0.0718462743075	0.0454773293572	0.0227036855403
a31	0.0810485416138	0.154874991084	0.100728697502	0.095359063654	0.237220435645	0.0933541481801	0.0386186446767	0.0140889296054	0.0339362103751	0.0787725293945	0.0469570878195	0.0250407281488
a11	0.0846931143913	0.127487975828	0.0998562017673	0.064574596678	0.251854335375	0.0956569510467	0.0375944895856	0.0210094149378	0.035793140905	0.0821958483967	0.0559196877961	0.0433642477257
a39	0.0881018095838	0.103795466183	0.115010983356	0.0471856391393	0.236689871525	0.0899183733489	0.0454159984819	0.0276099730486	0.0504580668997	0.0839260255085	0.0578101251536	0.0540776681617
a31	0.104964787521	0.126754051208	0.130028310752	0.0348010046264	0.201971897508	0.0875656104296	0.0574753992473	0.0217335352389	0.0527167525312	0.0861282419259	0.0546432670282	0.0412171428496
a11	0.0917658566603	0.108080012509	0.121248720251	0.0381169803555	0.185639495036	0.0967296819232	0.0746518308158	0.0230596508663	0.0600389010771	0.0874329774386	0.0601603403312	0.0530755677515
a18	0.0618638922734	0.11145014639	0.102938047417	0.0425089508518	0.178277457519	0.104086378174	0.0843139862053	0.0267272394154	0.0798528202257	0.0877260832529	0.0593661855139	0.0608888352718
a15	0.0433887879245	0.121974806597	0.105103477206	0.0440438253639	0.154722427546	0.104105872858	0.0844651667018	0.0377486271985	0.0959220444752	0.097673442351	0.0599707296371	0.0508808031137
a31	0.0368995911882	0.129857630332	0.101118090269	0.042856035528	0.138587450249	0.0960303100193	0.108438622801	0.0405292118662	0.0907393632251	0.103360602197	0.0688636826249	0.0427194103448
a11	0.0393726222427	0.114136388897	0.10471812549	0.043590281756	0.125488109416	0.0904197823398	0.1392329502	0.0345775840487	0.0776774365084	0.105584826392	0.0777410589846	0.0474608321314
a35	0.0369084394676	0.055383011439	0.130514026163	0.0441817163853	0.098994525512	0.0962305781799	0.1447495972	0.0436973737296	0.0749585448695	0.114566846617	0.0861425340099	0.0736727996427
a8	0.0301638100959	0.039326566833	0.139263302454	0.0484017679951	0.0803946479707	0.107118625593	0.1346079718	0.0537138277565	0.0703203713565	0.119976110919	0.0909781935246	0.0857347997169
a31	0.0302028995586	0.0681818185377	0.133798941018	0.0582211975317	0.0749092988169	0.093735839731	0.13123126456	0.0511157161455	0.0722845523855	0.11603525332	0.104552090271	0.0657311307683
a17	0.0347934473529	0.0754068794992	0.132179661406	0.0553483166439	0.0692082568056	0.082903006577	0.12303393328	0.0501006032218	0.0798398136618	0.13546998484	0.114279106947	0.0474369821988
a31	0.0350456040676	0.0448406711731	0.139033277669	0.0715789616813	0.0557050957352	0.083308219439	0.10782490836	0.0495604387873	0.0987022059539	0.148804683493	0.118705834506	0.0468900924263
a46	0.0334588035859	0.0372627959377	0.13237509589	0.0801584368271	0.0537884733117	0.0746967404597	0.08370292062	0.0438369013091	0.140818553785	0.159694213431	0.113439835102	0.0467672250088
