 	che	non	li	aspettiamo	</S>
a20	0.39326428017	0.159717877273	0.14115827759	0.13953937498	0.166320201383
a8	0.399155564923	0.194007782924	0.118855333529	0.17630215365	0.111679174143
a7	0.401580897201	0.166742604995	0.121883816347	0.191368340474	0.118424351708
a35	0.419049164294	0.127604173305	0.180761843579	0.184240206312	0.0883446097093
a46	0.445628956431	0.141945280855	0.149353186044	0.18389185411	0.0791807105564
a31	0.462416250144	0.158654198352	0.101913165361	0.178295076043	0.0987212895321
a11	0.413492694981	0.185926640384	0.102748372787	0.176250576221	0.121581691577
a31	0.33830085726	0.205484653595	0.104970301336	0.200285749647	0.150958427659
a0	0.289393535287	0.176460652398	0.113827098519	0.221266988216	0.199051708686
a31	0.207086987496	0.147950062733	0.128899291866	0.219598573339	0.296465065895
a30	0.190947674365	0.123443160578	0.119844854322	0.225059040713	0.340705257832
a0	0.202564969988	0.121189316059	0.109645580007	0.272323771838	0.294276353811
a31	0.163408557196	0.127379593353	0.110185228536	0.282621613546	0.316405006604
</S>	0.141919475098	0.127425225676	0.112475940768	0.257885395173	0.360293962302
