 	è	possibile	che	è	entrato	da	qui	</S>
a13	0.28739359327	0.119961907542	0.123333441706	0.105908345684	0.128974420492	0.134519469042	0.0637294892606	0.036179327218
a31	0.207067265812	0.110490699448	0.138435249815	0.106886611408	0.159334565841	0.188953237275	0.0707259574562	0.018106426784
a15	0.143523472952	0.0850134298112	0.222641562825	0.0777512955293	0.215374007083	0.177632746152	0.0668691271608	0.0111943631657
a20	0.0848243877566	0.0610589368536	0.291025225275	0.0972635436431	0.242570201874	0.126358338657	0.0791268588706	0.0177724866503
a11	0.101509588752	0.0781412990632	0.291090502558	0.115536386748	0.219774554615	0.0678560260197	0.0884519302816	0.0376396879501
a31	0.135932766124	0.0839383150057	0.259377397119	0.142320699183	0.189633852092	0.0732469361399	0.0726097514391	0.0429402548527
a39	0.169462936161	0.0915660412864	0.210298807173	0.138022599061	0.141419068471	0.1300132656	0.072290388674	0.0469268521236
a46	0.209527613567	0.0871564480247	0.154582479124	0.108798258354	0.118802099877	0.171022504687	0.0929284725913	0.0571820911979
a18	0.229386505456	0.0704212540089	0.127520170175	0.090918542318	0.111016276192	0.154885831429	0.10839759105	0.107453816839
a31	0.213100618485	0.065396590019	0.119702602925	0.076451049506	0.122131347664	0.11945845661	0.122819359987	0.160939960613
a13	0.190131131228	0.0654831811863	0.123064246575	0.062919530902	0.137263182488	0.103961327603	0.137923126796	0.179254261071
a31	0.170421793676	0.0807791503421	0.115496450725	0.0600990667673	0.148537737229	0.107042364601	0.144440954532	0.173182475157
a46	0.137653161492	0.0906646829807	0.112779655175	0.0699915841891	0.143353301143	0.105245443	0.158640353177	0.181671812919
a31	0.118595732831	0.10160655968	0.112292268725	0.0774069533964	0.136828606248	0.100776001133	0.160092397192	0.192401482506
</S>	0.125300833516	0.12226718574	0.113888884362	0.0801156446982	0.139302226924	0.102384885566	0.142010586796	0.174729757753
