 	non	mi	aspetti	che	non	vengo	</S>
a8	0.0666438577333	0.0696228760932	0.123216025811	0.194397354156	0.07777097775	0.34375321879	0.124595680076
a31	0.0660468248191	0.0622314237159	0.176647243771	0.178862022789	0.04260037737	0.38892557939	0.0846865185771
a24	0.0669070431548	0.041647347714	0.172213328293	0.19271319065	0.0257526844967	0.40938203493	0.0913843793122
a31	0.104051134014	0.050886156192	0.133465257189	0.205679904719	0.0275768870389	0.356821468843	0.121519193743
a36	0.144179188138	0.052639833928	0.118804578345	0.178139393322	0.0380215901356	0.340964209214	0.127251193701
a31	0.109424798666	0.0626415355373	0.0977220185303	0.182356069307	0.0663586957145	0.361098285738	0.120398589327
a39	0.0719808590567	0.060363408041	0.0865561809254	0.133739332702	0.0995215629715	0.414027264179	0.133811399016
a8	0.0760396683936	0.0488058084502	0.0918995359085	0.101584925634	0.140391333304	0.422402046726	0.118876694405
a31	0.0811448072112	0.0846174269874	0.0897154820362	0.0813907480113	0.151937329768	0.390168054709	0.121026163668
a29	0.0819714843971	0.109023277422	0.0886196950787	0.0731946181238	0.138759044143	0.377434405703	0.130997485756
a31	0.0898425851457	0.114416615741	0.101100735493	0.0735090366946	0.124098396181	0.344537958968	0.152494687652
a17	0.0978140909819	0.102991238314	0.103233931831	0.0739024994315	0.10725542556	0.332080213989	0.182722606351
</S>	0.0980857634909	0.082730192757	0.103002446115	0.0859146572158	0.11080998723	0.345397959395	0.174058985475
