 	oggi	io	non	ho	cosa	da	fare	</S>
a46	0.095957297438	0.195782424644	0.1093757912	0.1127361062	0.08790086761	0.12198252308	0.11279233576	0.163472635305
a27	0.0860287313127	0.184125196092	0.110134076053	0.113413509187	0.08676967439	0.0879580085333	0.21832920736	0.113241594276
a8	0.0545013781846	0.144963924992	0.0748712836843	0.131316636362	0.07832666543	0.108183541811	0.33177494232	0.0760616270387
a28	0.0611100901139	0.157172909759	0.0863129408281	0.152801376687	0.0628145174633	0.100975554177	0.327568983727	0.0512436246729
a31	0.091097373538	0.171076307853	0.108819067943	0.189344820962	0.0495306364678	0.064989642139	0.285891699129	0.0392504637603
a24	0.109238295916	0.183268158731	0.124873975848	0.227745696254	0.0521995491093	0.0562807420597	0.210472865076	0.0359207360628
a31	0.0892828647153	0.184723754264	0.127235415483	0.252540288085	0.0842557155898	0.0615852457332	0.157486531792	0.0428902053143
a10	0.0738298726164	0.183771176595	0.109921834394	0.240576794962	0.0933006010299	0.0599639129911	0.195450537064	0.0431852881914
a20	0.0904469650868	0.211181846532	0.0982268663647	0.211287074321	0.0710067038766	0.057925131497	0.219482344126	0.0404430687971
a31	0.0842392619456	0.235370356777	0.0768480262549	0.206869344774	0.0894217908322	0.0658897994323	0.20492861232	0.0364327952657
a39	0.102434265666	0.270942943859	0.0597564330183	0.170648872991	0.0919791648374	0.0608257054841	0.196407487903	0.0470051099686
a31	0.155112452106	0.26705567242	0.0554436907394	0.132250582997	0.0724158033858	0.0672547135147	0.172657364144	0.0778097020895
a18	0.152456935835	0.265507852407	0.0690669356465	0.130476372866	0.0711797385486	0.0728913138049	0.137078990088	0.10134185027
a31	0.176224481945	0.258333131769	0.0695356737488	0.125961329489	0.0678810900695	0.0670067273416	0.105112712536	0.12994485819
a17	0.175833241182	0.23486121989	0.0710496214496	0.131230433096	0.0631557823432	0.0658400631072	0.088613111132	0.16941653639
a31	0.158859836927	0.219591171497	0.0722574421499	0.136591139299	0.0636136707764	0.0745216666291	0.0890169055507	0.185548173435
a8	0.151553928776	0.200065037366	0.0819469109833	0.148631030033	0.0642526745541	0.0797902848497	0.0858352176236	0.187924920204
</S>	0.110752656588	0.200980259683	0.104671283192	0.169496637017	0.070683824927	0.0709628693748	0.0824213789118	0.190031090532
