 	non	sapeva	dove	a	stare	</S>
a20	0.153121374432	0.178722174492	0.27817266	0.05207051476	0.265864146087	0.072049140615
a31	0.125247361608	0.137705703642	0.365772976653	0.038395282442	0.257296391468	0.0755823008134
a37	0.0635851028765	0.0608971260709	0.346962649074	0.0397080606893	0.407243663404	0.0816034110228
a38	0.0349094722655	0.0377012943703	0.326538990581	0.0469209405964	0.441991912068	0.111937404631
a31	0.0940433114385	0.0877444322088	0.32496608168	0.0433954723188	0.359198052956	0.0906526614937
a41	0.136359273829	0.131527869188	0.22956247196	0.0693464090329	0.354342228319	0.0788617589579
a10	0.0935130795897	0.128209219089	0.15058224552	0.100872903924	0.40328483944	0.123537726853
a20	0.0506520133232	0.15156442862	0.0986263962133	0.113490503435	0.43295893808	0.152707723398
a9	0.0745475699677	0.204203480284	0.0764222605778	0.123678683858	0.40009518296	0.121052823113
</S>	0.115662146454	0.232891854012	0.0741131428889	0.121951538909	0.37458367948	0.0807976431565
