 	hai	già	mangiato	</S>
a38	0.37491151088	0.320296240274	0.185938746575	0.118853498552
a31	0.498188233227	0.329602833367	0.116681328982	0.0555275894377
a20	0.515216920409	0.330433185038	0.129045750254	0.0253041365086
a31	0.396490526136	0.432999045835	0.151700969605	0.0188094533995
a27	0.367466568712	0.417279068231	0.190193453302	0.0250608924265
a31	0.401473082237	0.372013719563	0.189995514867	0.0365176685088
a20	0.422138546079	0.338659042414	0.168444957489	0.0707574388363
a31	0.527979784026	0.207971243631	0.15860401463	0.105444954812
a39	0.497881025475	0.185216848677	0.21319471761	0.103707413737
a20	0.367549026625	0.188147362092	0.342000957203	0.102302654846
a10	0.307585671542	0.193660771964	0.365854110001	0.132899450815
</S>	0.298295872771	0.198641362882	0.3420246254	0.161038143907
