 	stava	ancora	cucinando	</S>
a8	0.239494811707	0.2587311975	0.262663974765	0.239110019373
a46	0.204927159488	0.3678741771	0.293786486832	0.13341218014
a24	0.158316070859	0.4436289635	0.300877655586	0.0971773191003
a37	0.105520425329	0.498170071033	0.274623911418	0.121685590353
a20	0.105933307291	0.509516770211	0.240681139985	0.143868760768
a31	0.14285305927	0.47090155527	0.248954752086	0.13729062758
a37	0.122814013887	0.429242276557	0.284313286889	0.163630424107
a31	0.0785733364337	0.419572281919	0.327098144116	0.174756234376
a20	0.0767441072779	0.368992563706	0.371065305639	0.183198019525
a31	0.089528472026	0.286393630302	0.360007490413	0.264070389175
a6	0.122806429409	0.232698456767	0.349986330804	0.294508774725
a31	0.151945984603	0.196717439589	0.344199730935	0.307136842442
a20	0.198446281934	0.173584973863	0.325445512978	0.302523212147
a46	0.233125292378	0.157451183288	0.335217305659	0.274206211516
a31	0.220222223993	0.160926725096	0.35199869522	0.266852370239
</S>	0.202961650296	0.174158745548	0.36298934461	0.259890276719
