 	sono	vestita	</S>
a31	0.358408290696	0.291094032115	0.3504976837
a20	0.379017342427	0.339696555108	0.281286099393
a31	0.416483870935	0.409851887988	0.173664230691
a41	0.312474973655	0.455437166084	0.23208785163
a46	0.20759211752	0.465462356495	0.32694551701
a18	0.29232222426	0.398829539869	0.30884822367
a24	0.367856155287	0.31315939729	0.318984437223
a31	0.335710600962	0.331090841563	0.333198547741
a11	0.326466539187	0.375699107188	0.297834345914
a0	0.359674089796	0.379973487396	0.260352424238
a15	0.350706501532	0.374714809465	0.274578692146
a8	0.375125548044	0.375535825822	0.249338617382
a39	0.380666959548	0.402282051941	0.217050988394
</S>	0.353981704074	0.41657227597	0.229446034797
