 	Marika	tu	hai	mangiato	</S>
a8	0.224624493126	0.11888894206	0.3196607908	0.2137867616	0.12303901366
a31	0.307514708158	0.133996984615	0.298896880867	0.18989881872	0.0696926010125
a24	0.336735957384	0.168205484076	0.248306647822	0.208042928813	0.0387089727806
a31	0.319936420561	0.157834288349	0.296755782574	0.178200145458	0.0472733735642
a28	0.282820180774	0.140272693963	0.310273315358	0.179238059553	0.0873957688747
a31	0.264044396311	0.134000227454	0.273846875519	0.176307464784	0.151801038752
a3	0.26585817197	0.127392998485	0.260050830173	0.167346144615	0.179351851777
a18	0.22463511479	0.125160503628	0.304850284858	0.196582248558	0.148771829099
a31	0.153669537263	0.138506084676	0.338911721886	0.204661881286	0.164250754136
a23	0.113896710888	0.163868703559	0.364027481962	0.183880718129	0.174326386775
a31	0.107571851963	0.16939362332	0.372935626654	0.161619040776	0.188479872752
a20	0.101949240721	0.17623309524	0.327870969151	0.170588358392	0.223358347544
</S>	0.111428150561	0.19434216862	0.298858666976	0.176264009196	0.219107008572
