 	non	ho	dove	d'	andare	</S>
a20	0.106043946912	0.245357535602	0.238530757035	0.170528057481	0.143309951682	0.0962297301207
a31	0.109767755759	0.231307847202	0.270304630518	0.176685297901	0.158269669162	0.0536647999541
a37	0.137727860233	0.173960683481	0.305818362006	0.183130799216	0.135511995027	0.0638503145448
a31	0.097391783655	0.14824417484	0.37542498908	0.17872669648	0.123006057098	0.0772063117016
a29	0.0779884464563	0.1724188454	0.364608721911	0.172573286689	0.104230599748	0.108180109643
a41	0.0927059777101	0.251607574187	0.268616080404	0.169750089855	0.0626407477627	0.154679509827
a31	0.108480178157	0.320731655529	0.258161143948	0.125769861357	0.0523750553676	0.134482067699
a18	0.115425887084	0.33035603851	0.258802204429	0.119903952188	0.0623043085892	0.113207586673
a31	0.1112780076	0.263222296903	0.221024281143	0.152496042732	0.118263990663	0.133715388071
a39	0.108292829847	0.216109387734	0.175450435148	0.179227260911	0.171542321888	0.149377775197
a31	0.120114931396	0.171454187011	0.143187675949	0.208628129437	0.196171164496	0.160443918199
a8	0.141047305265	0.14044240357	0.136765610716	0.218619426612	0.176221553232	0.186903698466
a31	0.159347506222	0.13169894529	0.137447790105	0.231243707604	0.154252480344	0.186009563595
a8	0.169377312741	0.12530831283	0.143017902302	0.229641245468	0.144952367381	0.187702854105
</S>	0.16933966677	0.146043373115	0.140394304151	0.220913365534	0.124748319691	0.198560960053
