 	vuole	bianco	</S>
a20	0.38289295306	0.417199786333	0.1999072556
a31	0.428376464313	0.458141319636	0.113482215202
a11	0.380696333758	0.492124422628	0.127179230443
a31	0.381142975186	0.449602440223	0.169254568121
a39	0.349571989395	0.427980174921	0.22244783404
a20	0.259332505598	0.4732378439	0.267429653813
a31	0.284751581533	0.47970310906	0.235545307271
a39	0.305561539978	0.503541143687	0.190897317357
a46	0.345780273459	0.494178148562	0.160041579119
a24	0.402411282753	0.430419453521	0.167169258973
a46	0.423624265651	0.378215801174	0.198159928924
</S>	0.428922181525	0.352332323587	0.218745492462
