 	forse	sono	usciti	</S>
a23	0.334301834043	0.241599963	0.2639776722	0.160120528762
a31	0.380100685381	0.231592956796	0.283117009467	0.105189344628
a23	0.375813827525	0.194185748902	0.333809401082	0.0961910250267
a31	0.441012375682	0.143629321455	0.319205910087	0.0961523978176
a10	0.508274335734	0.134897596376	0.284580326696	0.0722477313965
a37	0.512682114178	0.181761646876	0.180127641299	0.125428590544
a31	0.407276858926	0.249139204065	0.168145652113	0.175438287318
a37	0.409669214909	0.228549052328	0.154083447118	0.207698279333
a31	0.390871451636	0.277769837649	0.149269933639	0.182088760522
a39	0.278788362545	0.32551474185	0.253915751146	0.141781125641
a31	0.250794432848	0.27184470657	0.292761392182	0.184599459714
</S>	0.249698051424	0.268098547115	0.264541352091	0.217662046057
