 	mia	mamma	puliva	la	casa	ogni	giorno	</S>
i	0.776148161	0.03856858006	0.032506698094	0.0303492423	0.030334749847	0.030232354656	0.0309837245075	0.0308764274542
m	0.699342358	0.0785918579	0.0375036620552	0.0323210838091	0.0341764661677	0.0333441160409	0.0423993254804	0.042321083837
à	0.509313924	0.124108244	0.1109484748	0.040589063	0.04514048064	0.0547943542	0.0428597843918	0.0722455555107
n	0.2196878672	0.529763696	0.053778304166	0.0361159234546	0.0375222124598	0.0364975578011	0.0398710692449	0.0467633767591
a	0.276231566	0.413214382	0.11930981592	0.04269373106	0.03597937226	0.0335887155652	0.0374602064497	0.0415223398457
m	0.1081038208	0.568135018	0.13213174234	0.04013038984	0.033124525386	0.0331329855064	0.0399090464082	0.045332336479
u	0.0676035928	0.2644097686	0.287300273	0.131214894	0.0585984456	0.05900392734	0.0416242010467	0.090244904431
i	0.0639105722	0.214858778	0.344402865	0.182019076	0.0410557638	0.041048430646	0.0449400934707	0.0677643874506
p	0.02997544562	0.07109917	0.3349479072	0.261922624	0.1545873812	0.0783609656	0.024327078175	0.04477946334
u	0.0575915097	0.0464834278	0.3179740148	0.248826908	0.1313680132	0.074167861	0.048694832352	0.074893452856
l	0.0323553669	0.0867226902	0.200457404	0.36113439	0.1104177444	0.0754812442	0.03618874062	0.0972424991268
ì	0.037450361042	0.03149675188	0.246927208	0.275886438	0.186792348	0.1012819528	0.0512044036	0.0689604889
z	0.0276461503	0.051836587	0.1038763	0.4427509072	0.1852214522	0.0384049168	0.0315054468	0.118758259796
z	0.01732574928	0.0275014348	0.1054509864	0.339389224	0.301093864	0.0856184909	0.0315219008	0.0920984194
e	0.04460775124	0.0501973084	0.2253476128	0.252867536	0.1769056368	0.06327730914	0.0657014271586	0.121095324548
t	0.01697162808	0.021009679	0.0458481618	0.2781293512	0.2368026748	0.166865843	0.0669035727	0.16746927374
o	0.011761877948	0.01551030899	0.032095138	0.181483644	0.408822914	0.1080726854	0.0830074928	0.1592460528
s	0.019330710068	0.0222145248	0.0325262202	0.13716343994	0.2114758712	0.311331622	0.0778798474	0.1880779372
p	0.006941746336	0.0084094540352	0.016650440954	0.0937745566	0.36751819	0.225341768	0.1223530526	0.1590108724
ì	0.01993375767	0.00715278742	0.029786062	0.0769605478	0.204024444	0.293579532	0.147404915	0.2211579848
t	0.01018795196	0.0141000786	0.0246009926	0.084618553	0.196978572	0.294984496	0.163388021	0.2111413678
i	0.007345000086	0.010072125928	0.01601956088	0.0426845255	0.302521587	0.215153794	0.195961182	0.2102420846
k	0.01017908132	0.010835227254	0.013826671634	0.02043555272	0.05063901352	0.2775942476	0.271280772	0.34520948
à	0.007762560646	0.007597070486	0.011426495234	0.02601991482	0.1377552744	0.218715644	0.299499172	0.291224115
i	0.005928980548	0.0071218053	0.00855030952	0.015967849	0.0384977482	0.1974967404	0.51160914	0.214827426
m	0.0058171141839	0.00657527215974	0.006663156718	0.009392702338	0.02148653856	0.1259080932	0.540394646	0.283762616
è	0.008899181931	0.010904361651	0.016362066386	0.038205594476	0.0706286493	0.1486471498	0.399567006	0.3067859812
r	0.0066999919804	0.01089270096	0.0093850474	0.01828843788	0.019161228	0.0765090522	0.64091667	0.218146938
i	0.0052113056676	0.006355343653	0.00702475425	0.009435652682	0.02378041596	0.095714507	0.556743772	0.295734302
</S>	0.0112022759954	0.0109827964766	0.012092792078	0.01317671276	0.01568164086	0.04662495494	0.41769999	0.472538896
