 	non	ho	cosa	è	da	mangiare	</S>
e	0.791295532	0.0466494065	0.033617426186	0.0308012681892	0.0306557765024	0.0342099760775	0.0327705507543
n	0.6319116	0.1270596738	0.05593635586	0.0390662238648	0.073510634201	0.0365594725488	0.0359559350605
è	0.1441698748	0.456319178	0.1446611606	0.047829763266	0.0472664875582	0.0733058604296	0.0864477363212
c	0.2088982246	0.396174136	0.2216435644	0.0534040294	0.039012988104	0.0394497582463	0.0414174355729
h	0.0642905653	0.267760022	0.371436626	0.0850637814	0.0776444511	0.0695624576404	0.0642420940792
o	0.0510754856	0.183116194	0.456497956	0.1732277668	0.04997995954	0.0457045417294	0.0403980560976
t	0.0351974394	0.1059363844	0.439400014	0.2300894288	0.0597111104	0.033766265062	0.095899218684
i	0.0271128946	0.1061495426	0.2972429544	0.2380800934	0.11957633604	0.0647145715292	0.147123733276
è	0.024688801	0.0361656764	0.107379631	0.332862764	0.28873121	0.04983567361	0.16033615518
n	0.0195990187714	0.01993991936	0.0561470917	0.269288338	0.410247368	0.096089538	0.12868871192
a	0.0371431335248	0.03355678614	0.06442940756	0.2019435892	0.3353201472	0.1504938164	0.17711325912
f	0.014820692253	0.019727131448	0.02626797132	0.0642812878	0.25761095976	0.475884462	0.1414073834
à	0.0221257126	0.039049323514	0.070704536576	0.04045913342	0.2039692692	0.447620532	0.1760716446
o	0.0107745790726	0.0212127205	0.024813934594	0.04786250126	0.1352693838	0.641830476	0.118236374
</S>	0.0120734779761	0.0075776481121	0.0093269483628	0.023179331996	0.09158102008	0.54572487	0.310536672
