 	credo	che	stanno	ancora	svegli	</S>
p	0.767111878	0.0585029423294	0.045245381186	0.0396418564061	0.0490046166377	0.0404932501012
i	0.671081034	0.09500734953	0.0684101926112	0.0460740473437	0.0398936226813	0.0795337155364
s	0.652753742	0.1247461806	0.042979624082	0.0902387737184	0.0388513421517	0.0504303216005
t	0.509335518	0.2606421882	0.084681935	0.037248412	0.056366623302	0.0517254406649
è	0.592297266	0.191796552	0.05904695708	0.0483824160268	0.0397827769608	0.0686938240004
o	0.1546149008	0.626331546	0.0543838206	0.0636517989722	0.0217435173783	0.0792744285946
k	0.0572245338	0.611472978	0.156105764	0.09398476192	0.026924044482	0.0542878908591
a	0.1531974314	0.478464998	0.154310156	0.03938775352	0.055105855445	0.11953393636
s	0.0601392334	0.314583188	0.397637172	0.09939735514	0.040088429278	0.088154636684
t	0.05166652854	0.220189176	0.447095224	0.07240606556	0.07586394839	0.13277884878
è	0.1347914216	0.19441228	0.3729069352	0.09873032536	0.031778599042	0.1673805486
o	0.0405172412	0.1249774788	0.57845835	0.1161604966	0.02238690778	0.11749945948
n	0.03069941872	0.0612827036	0.44494997	0.2534750806	0.063057344172	0.14653553026
e	0.12292589496	0.13753787094	0.363770428	0.134886253	0.061396875974	0.17948269718
a	0.0411353604	0.0546300986	0.16803813	0.468012848	0.1158859986	0.1522975444
n	0.02372160744	0.02920052504	0.1838469874	0.45014849	0.193358925	0.11972320566
k	0.0623228181	0.06940871764	0.1484715826	0.423840732	0.11486174224	0.1810945348
ò	0.13333519422	0.0429291493	0.143470973	0.23758986586	0.0665750972	0.376099672
r	0.020480678	0.0465289192	0.181737096	0.299719564	0.217716418	0.233817294
a	0.060374841608	0.070957881648	0.1074641042	0.4394855172	0.121400672	0.2003168608
a	0.0496710936	0.05268814572	0.0735872006	0.3154632432	0.1962415528	0.3123486814
t	0.02411521738	0.0206345845	0.05913085406	0.1426264188	0.437339936	0.3161528282
s	0.0295617092	0.03242431104	0.0718336523	0.136926588	0.3129574372	0.416296246
ù	0.04505281348	0.0155408923	0.0457007582	0.05182944734	0.22739272	0.61448328
n	0.0194420976	0.02208417718	0.036545475	0.0917634674	0.555003756	0.275161016
n	0.019190003788	0.024833199496	0.03739309738	0.11057919912	0.536104428	0.271900121
i	0.088076201852	0.05804806618	0.02561772414	0.05864637894	0.3278799204	0.441731692
t	0.051676130124	0.022131327502	0.08616642529	0.05132211024	0.457433758	0.331270246
i	0.0900231964846	0.081169713008	0.03211022378	0.02628787508	0.36420192394	0.40620712
</S>	0.021814967936	0.022094285648	0.02474533041	0.03317810448	0.305267609	0.5928996848
