 	venne	scritto	</S>
ì	0.743849806	0.1299613266	0.126188784901
r	0.804439024	0.106786755388	0.0887743768572
t	0.64671447	0.25152829844	0.10175724642
e	0.670442294	0.1856403708	0.143917515813
g	0.3317812488	0.489722636	0.17849611
r	0.1892400376	0.465420386	0.345339532
a	0.1481618488	0.55235609	0.29948203422
m	0.040108433	0.462851642	0.497039884
m	0.0295900625	0.44245549	0.52795432
è	0.0350224642	0.506421712	0.4585556746
n	0.1146331482	0.383460022	0.50190682
o	0.152847714	0.306283966	0.540868422
</S>	0.0259207228	0.236145738	0.737933518
