 	non	sono	andati	</S>
e	0.809338722	0.06366458298	0.063080164894	0.0639165505486
n	0.626191042	0.177157283	0.074466103994	0.122185393028
è	0.276004954	0.48128196	0.10122013612	0.14149295838
c	0.1740135604	0.641512188	0.0917835528	0.0926907228
h	0.11232067652	0.584189768	0.1583871416	0.14510243434
u	0.1603751456	0.461905506	0.248070632	0.1296487246
n	0.0344493522	0.159960458	0.520868568	0.2847216287
e	0.02992745492	0.1946022536	0.510975046	0.26449504
p	0.02492404964	0.0306744286	0.671100854	0.2733005712
a	0.00990443074	0.0362431354	0.662319084	0.2915334492
m	0.048586129596	0.0370887474	0.434842874	0.47948232
è	0.00819774126	0.0314647	0.482198558	0.4781389248
n	0.066640682536	0.0839236778	0.50104251	0.348393174
a	0.04624530235	0.1093046158	0.449217532	0.3952324172
</S>	0.01764169212	0.04417353908	0.270019716	0.668165202
