 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.746069101	0.04127438222	0.05306248422	0.05309660566	0.024269330942	0.0278883232226	0.0543397398826
n	0.639539672	0.1264109788	0.03970098146	0.0413764107058	0.0436829050941	0.0526958181513	0.0565932248616
a	0.298866572	0.47291301	0.054026262	0.03835237398	0.038984347801	0.0435152870223	0.0533422133926
a	0.1182130702	0.543719918	0.1281441082	0.040326298346	0.0397389371977	0.0509730156738	0.0788846362561
f	0.07053827446	0.3986142208	0.2215280464	0.0604171711	0.0740655508	0.0377399272586	0.137096702404
o	0.0473529768	0.1040867862	0.46286118	0.1519589886	0.1050531938	0.041485133048	0.0872018969497
r	0.0449260782	0.2070144628	0.4168340432	0.068950576	0.08276154522	0.0417407816925	0.137772347216
à	0.03216464252	0.1352248432	0.350346292	0.1252041532	0.1340776248	0.07368206457	0.149300515977
s	0.0466804674	0.150485638	0.323449249	0.215572157	0.08831215994	0.0466365688266	0.12886369719
o	0.03942051938	0.13989375	0.410073954	0.179149052	0.09656301988	0.038438969048	0.096460537764
t	0.028729551352	0.0468188254	0.265676584	0.3777323674	0.1232752908	0.041334535539	0.11643275005
o	0.02888260648	0.02806307	0.242786302	0.387061317	0.1453622706	0.03861327156	0.12923114474
t	0.03223111637	0.04892169386	0.129156533	0.312027261	0.207444938	0.09651450074	0.17370399106
s	0.0160427196008	0.0098144815	0.0742204136	0.552182792	0.159184398	0.0759141876	0.1126410554
o	0.007107253	0.0203353280882	0.1117170878	0.482208758	0.1745360312	0.08678870104	0.11730659064
m	0.01202461546	0.01455648046	0.0326868618	0.1183074112	0.2620430152	0.2630986468	0.297283064
ì	0.00520757838	0.005220298996	0.0158474367	0.2254495202	0.189311798	0.3542364886	0.204726715
p	0.01432146034	0.0211330399	0.0370043002	0.0632996942	0.346943389	0.3089436554	0.20835444
à	0.00714827864	0.00501805566	0.02636456798	0.1424967656	0.1713240096	0.395272022	0.2523763492
s	0.0079409735	0.01202436106	0.0206068318	0.0442593812	0.205753259	0.434723186	0.274692066
s	0.00761918174	0.007913582428	0.01676921174	0.058987504	0.15799447	0.495242026	0.255474025
i	0.01852018536	0.005741960564	0.0106141582	0.04213069646	0.244825453	0.335993272	0.34217439488
n	0.009791674796	0.008854005074	0.01483392401	0.02009200846	0.05864675546	0.36700862	0.520773054
i	0.00506290313	0.00504504352	0.006780611922	0.024374618532	0.06422535656	0.611338378	0.28317321
m	0.0127150103	0.012189787136	0.014341914292	0.0153160617	0.02841284458	0.36389577	0.553128506
è	0.01360436504	0.00409066194	0.02050427898	0.0426530446	0.0746322398	0.52328072	0.321234674
r	0.00979643729	0.012803150324	0.014226106374	0.01865845542	0.0606027592	0.470649492	0.413263594
a	0.007866650316	0.007572142072	0.0106549913	0.021822178296	0.0469175933	0.467295562	0.43787084
</S>	0.014877819184	0.012988817502	0.017027646857	0.01787022701	0.025420055	0.30301731	0.608798172
