 	Marika	tu	hai	mangiato	</S>
M	0.677146416	0.081105673	0.07433923088	0.0595243344	0.107884383803
a	0.492261942	0.11726912401	0.091201165608	0.118792056726	0.18047583141
r	0.507334632	0.17228222592	0.072954331928	0.10561508865	0.141813707583
ì	0.218075143	0.405616034	0.0986567048	0.09797303876	0.179678945869
k	0.2146445214	0.44000625	0.195059184	0.059053685596	0.091236279248
a	0.1760688938	0.3391926752	0.159758588	0.08878824084	0.236191569446
e	0.0452899816	0.2693483074	0.420849256	0.05454480292	0.209967675528
s	0.02758443166	0.1372794432	0.381870352	0.292977108	0.1602887256
ù	0.01390618656	0.11165601496	0.4582515966	0.2213765518	0.1948096496
è	0.02731303854	0.05742261832	0.1628701758	0.57089329	0.1815008344
f	0.01407567626	0.032514007916	0.1126985716	0.780192738	0.0605190257
e	0.024686543661	0.03905026394	0.1228521171	0.687407178	0.126003914
</S>	0.01078157068	0.03124102328	0.035791955	0.606107518	0.31607798
