 	lo	posso	finire	di	scrivere	</S>
o	0.802482982	0.0500204131	0.0419358853	0.035296339772	0.0352720078601	0.0349923182722
s	0.431600026	0.390264392	0.04413726699	0.0453081538574	0.0454355492214	0.0432547426713
ò	0.165268213	0.585760366	0.05561671824	0.062833335812	0.0548875591579	0.0756336827721
z	0.1302166726	0.690362714	0.044858705306	0.0357752953185	0.0351363029608	0.0636504663941
o	0.11339723366	0.57731387	0.10340918514	0.10848339404	0.0358793925109	0.061517176422
s	0.1251698292	0.472810802	0.2093510722	0.063975775054	0.055456478646	0.0732359267374
p	0.0686677054	0.4010630206	0.2707208184	0.121460733988	0.04572654702	0.0923612751958
i	0.0925437444	0.36962346	0.212968566888	0.118982221062	0.0613265871339	0.144555271622
c	0.0617278898	0.109417754	0.577421872	0.1105844064	0.051073711084	0.089774434009
c	0.02520596298	0.0713053088	0.618890392	0.1672180168	0.0483214084	0.069058920574
è	0.09637402392	0.1446180512	0.2543922352	0.1633352968	0.11596174772	0.22531872768
t	0.0263038234	0.1148585056	0.3902121326	0.2460540608	0.03383523494	0.1887360462
s	0.0440896244	0.0900119774	0.509422452	0.24170019	0.0517792081	0.06299659982
i	0.1063537162	0.1837002882	0.1358145686	0.2590743348	0.10880909382	0.206248036494
à	0.01470019792	0.0181075252	0.0764170128	0.4378364692	0.207876672	0.24506209
t	0.010860786452	0.01885169504	0.067737966	0.532300866	0.2044240258	0.1658246756
s	0.016264127388	0.0353566225	0.1474456596	0.360707488	0.2744245236	0.1658014214
e	0.09685213932	0.05670537798	0.0450695716	0.2197852154	0.200642758	0.3809448959
g	0.005816483938	0.00757582284	0.01333680684	0.08982994364	0.444574342	0.438866646
r	0.0097128584174	0.01088267984	0.02664124106	0.124051831	0.52032402	0.308387454
à	0.005660907142	0.028641063606	0.023511977242	0.09540466072	0.675200152	0.17158120472
t	0.008148949992	0.0109191554	0.0167655138	0.0773706376	0.6218361	0.264959636
s	0.0056292852	0.00818332694	0.0113920882	0.0936670432	0.508514696	0.372613528
i	0.019350852552	0.01994738526	0.01458611082	0.0832809468	0.513140628	0.3496942446
</S>	0.00964587726	0.0265055471	0.0257163756	0.0872066206	0.332036884	0.51888862
