 	non	ti	dimentichiamo	mai	</S>
e	0.799101876	0.058476455844	0.04384885306	0.050343154344	0.0482296790605
s	0.43765168	0.407364008	0.0565790300606	0.048373277751	0.0500318823634
e	0.26547801	0.39975986	0.1373306694	0.079657843224	0.117773645658
a	0.201889028	0.533185852	0.14206304264	0.0614720596198	0.0613898894226
l	0.1016620848	0.281699144	0.375340296	0.12433131134	0.11696723956
l	0.0678427044	0.113431626	0.576221086	0.085283514	0.157221115
i	0.184305125	0.1442747372	0.346472418	0.1181173745	0.20683041542
m	0.133517375	0.2225326574	0.239626923	0.147047438	0.2572757111
o	0.0242345559	0.0710465394	0.64749518	0.1263903032	0.1308335002
n	0.0538647242	0.1124948624	0.327257748	0.2370292252	0.2693534004
ù	0.02107287134	0.0581486896	0.401322652	0.249207194	0.270248602
m	0.05996656352	0.045009879	0.1533490818	0.508823865	0.2328507046
e	0.0266249324	0.03980782096	0.305953938	0.2998190786	0.32779445
m	0.026264620528	0.01477539294	0.03759870876	0.551724322	0.36963695
à	0.01661755732	0.04035137744	0.0992840814	0.49755155	0.346195314
i	0.03943743786	0.0310922271	0.0689999922	0.479635468	0.38083492
</S>	0.023105100388	0.01966902224	0.042504927952	0.422602672	0.49211821
