 	ogni	giorno	bisogna	che	compriamo	il	pane	</S>
k	0.798438392	0.03915235892	0.0270851824058	0.0268734213897	0.0268821528419	0.0268466043579	0.0271809334664	0.0275408672945
u	0.675699612	0.1001528432	0.0357605977704	0.0321286962599	0.0312721075322	0.0392196550632	0.0355833619385	0.0501830279918
à	0.4406198188	0.344832338	0.0337526631671	0.0322130219106	0.0318424090652	0.0339221672799	0.0344282245196	0.048389398722
i	0.195509099	0.611919581	0.03741901498	0.028115814708	0.0292296819131	0.0284754545312	0.030481500711	0.0388497778498
m	0.1565979032	0.587833768	0.0507800832	0.03271428936	0.0324213008922	0.0420993463188	0.0378139842004	0.0597393505647
è	0.134017855	0.359367724	0.181483445	0.0842295354	0.053292228	0.058781849428	0.0449139987609	0.0839134115991
r	0.1076191432	0.583579396	0.0970693592	0.04301784744	0.0462144499824	0.0329764805098	0.0356125829976	0.0539106802716
i	0.0887189868	0.504600522	0.1693233428	0.048963138	0.031430601148	0.025391499387	0.0538441372778	0.0777275754703
n	0.0750436614	0.235516636	0.405509612	0.0860829236	0.0437040211	0.0404020226803	0.0420975133962	0.0716436482291
g	0.0408766242	0.101296316	0.44474853	0.1820174536	0.05981410046	0.043790875908	0.0468160009868	0.0806401613093
h	0.12100232714	0.1223396808	0.2118391088	0.19045754	0.122393335404	0.05728222036	0.0579110583188	0.116774522542
ì	0.07176556494	0.117492051	0.464542476	0.132216783	0.0677225254003	0.034826916376	0.0352655581528	0.0761680710346
z	0.036992521332	0.07570008308	0.544455996	0.1510624796	0.0670366473	0.02768374224	0.024876425346	0.072192151992
i	0.0232464322	0.0444749264	0.325033106	0.302442811	0.0889568498	0.04534893216	0.062108428938	0.108388309749
n	0.03423004353	0.0417186089	0.1678856584	0.4410881984	0.113870015	0.0378071424	0.0258696873554	0.137530542212
a	0.023609569432	0.03957220066	0.1704838492	0.421798922	0.17397096	0.0397366176	0.031022996222	0.099804620564
v	0.020785507248	0.0245830545	0.0798270758	0.2881344584	0.24730547	0.147370678	0.028628822412	0.16336491016
o	0.03214213918	0.01889178418	0.0593754734	0.217043357	0.2903901586	0.1322378032	0.1348252806	0.11509423751
r	0.01411978968	0.01743862598	0.05939894574	0.1587522172	0.225262598	0.26205494	0.06147565394	0.20149700214
à	0.01924154323	0.016841088692	0.0438775082	0.1554723024	0.3648513928	0.1378809752	0.1548432354	0.1069920248
s	0.01148665724	0.0139879426	0.05071463446	0.0894147692	0.1777498392	0.3110393	0.1347509312	0.2108559342
o	0.0085083029	0.01214449718	0.0409931718	0.0968990432	0.368263694	0.258852954	0.0702172432	0.1441210698
m	0.00949765786	0.009514444034	0.01584138234	0.0234061542	0.084947	0.3638555412	0.253110214	0.2398275054
e	0.014308779374	0.01679145102	0.03270208714	0.0542936399	0.1178060072	0.340036246	0.212911808	0.2111500286
o	0.007381580246	0.008288892804	0.01791701448	0.026707596652	0.0463712816	0.251159003	0.4257335	0.216441194
t	0.007153879048	0.007695126466	0.01306019203	0.01372703172	0.02076838386	0.236728399	0.559344414	0.141522639
s	0.00905912314	0.008147227	0.01150649988	0.01849501838	0.0400943872	0.251958712	0.546571564	0.114167492
o	0.00295688958	0.002785948232	0.0069170797	0.009409257546	0.0610389447568	0.1559551014	0.609268826	0.1516680678
m	0.0287360376952	0.017738826464	0.01320878832	0.01312841874	0.01275911304	0.127063154	0.4326434	0.354722396
ì	0.0040469029172	0.0045560096568	0.0158060883568	0.01411633114	0.01904584006	0.1282291376	0.476635532	0.33756404
</S>	0.0057747625176	0.0075230116402	0.0169026304614	0.015142767404	0.0136164425	0.0814203484	0.595430496	0.264189604
